"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"oh","1 wk ahead","Point","percent",NA,NA,2.6
"oh","1 wk ahead","Bin","percent","0.0","0.1",0
"oh","1 wk ahead","Bin","percent","0.1","0.2",0
"oh","1 wk ahead","Bin","percent","0.2","0.3",0
"oh","1 wk ahead","Bin","percent","0.3","0.4",0
"oh","1 wk ahead","Bin","percent","0.4","0.5",0
"oh","1 wk ahead","Bin","percent","0.5","0.6",0
"oh","1 wk ahead","Bin","percent","0.6","0.7",0
"oh","1 wk ahead","Bin","percent","0.7","0.8",0
"oh","1 wk ahead","Bin","percent","0.8","0.9",0
"oh","1 wk ahead","Bin","percent","0.9","1.0",0
"oh","1 wk ahead","Bin","percent","1.0","1.1",0
"oh","1 wk ahead","Bin","percent","1.1","1.2",0
"oh","1 wk ahead","Bin","percent","1.2","1.3",0
"oh","1 wk ahead","Bin","percent","1.3","1.4",0
"oh","1 wk ahead","Bin","percent","1.4","1.5",0
"oh","1 wk ahead","Bin","percent","1.5","1.6",0
"oh","1 wk ahead","Bin","percent","1.6","1.7",0
"oh","1 wk ahead","Bin","percent","1.7","1.8",0
"oh","1 wk ahead","Bin","percent","1.8","1.9",0
"oh","1 wk ahead","Bin","percent","1.9","2.0",0
"oh","1 wk ahead","Bin","percent","2.0","2.1",0
"oh","1 wk ahead","Bin","percent","2.1","2.2",0
"oh","1 wk ahead","Bin","percent","2.2","2.3",0
"oh","1 wk ahead","Bin","percent","2.3","2.4",0
"oh","1 wk ahead","Bin","percent","2.4","2.5",0
"oh","1 wk ahead","Bin","percent","2.5","2.6",0
"oh","1 wk ahead","Bin","percent","2.6","2.7",1
"oh","1 wk ahead","Bin","percent","2.7","2.8",0
"oh","1 wk ahead","Bin","percent","2.8","2.9",0
"oh","1 wk ahead","Bin","percent","2.9","3.0",0
"oh","1 wk ahead","Bin","percent","3.0","3.1",0
"oh","1 wk ahead","Bin","percent","3.1","3.2",0
"oh","1 wk ahead","Bin","percent","3.2","3.3",0
"oh","1 wk ahead","Bin","percent","3.3","3.4",0
"oh","1 wk ahead","Bin","percent","3.4","3.5",0
"oh","1 wk ahead","Bin","percent","3.5","3.6",0
"oh","1 wk ahead","Bin","percent","3.6","3.7",0
"oh","1 wk ahead","Bin","percent","3.7","3.8",0
"oh","1 wk ahead","Bin","percent","3.8","3.9",0
"oh","1 wk ahead","Bin","percent","3.9","4.0",0
"oh","1 wk ahead","Bin","percent","4.0","4.1",0
"oh","1 wk ahead","Bin","percent","4.1","4.2",0
"oh","1 wk ahead","Bin","percent","4.2","4.3",0
"oh","1 wk ahead","Bin","percent","4.3","4.4",0
"oh","1 wk ahead","Bin","percent","4.4","4.5",0
"oh","1 wk ahead","Bin","percent","4.5","4.6",0
"oh","1 wk ahead","Bin","percent","4.6","4.7",0
"oh","1 wk ahead","Bin","percent","4.7","4.8",0
"oh","1 wk ahead","Bin","percent","4.8","4.9",0
"oh","1 wk ahead","Bin","percent","4.9","5.0",0
"oh","1 wk ahead","Bin","percent","5.0","5.1",0
"oh","1 wk ahead","Bin","percent","5.1","5.2",0
"oh","1 wk ahead","Bin","percent","5.2","5.3",0
"oh","1 wk ahead","Bin","percent","5.3","5.4",0
"oh","1 wk ahead","Bin","percent","5.4","5.5",0
"oh","1 wk ahead","Bin","percent","5.5","5.6",0
"oh","1 wk ahead","Bin","percent","5.6","5.7",0
"oh","1 wk ahead","Bin","percent","5.7","5.8",0
"oh","1 wk ahead","Bin","percent","5.8","5.9",0
"oh","1 wk ahead","Bin","percent","5.9","6.0",0
"oh","1 wk ahead","Bin","percent","6.0","6.1",0
"oh","1 wk ahead","Bin","percent","6.1","6.2",0
"oh","1 wk ahead","Bin","percent","6.2","6.3",0
"oh","1 wk ahead","Bin","percent","6.3","6.4",0
"oh","1 wk ahead","Bin","percent","6.4","6.5",0
"oh","1 wk ahead","Bin","percent","6.5","6.6",0
"oh","1 wk ahead","Bin","percent","6.6","6.7",0
"oh","1 wk ahead","Bin","percent","6.7","6.8",0
"oh","1 wk ahead","Bin","percent","6.8","6.9",0
"oh","1 wk ahead","Bin","percent","6.9","7.0",0
"oh","1 wk ahead","Bin","percent","7.0","7.1",0
"oh","1 wk ahead","Bin","percent","7.1","7.2",0
"oh","1 wk ahead","Bin","percent","7.2","7.3",0
"oh","1 wk ahead","Bin","percent","7.3","7.4",0
"oh","1 wk ahead","Bin","percent","7.4","7.5",0
"oh","1 wk ahead","Bin","percent","7.5","7.6",0
"oh","1 wk ahead","Bin","percent","7.6","7.7",0
"oh","1 wk ahead","Bin","percent","7.7","7.8",0
"oh","1 wk ahead","Bin","percent","7.8","7.9",0
"oh","1 wk ahead","Bin","percent","7.9","8.0",0
"oh","1 wk ahead","Bin","percent","8.0","8.1",0
"oh","1 wk ahead","Bin","percent","8.1","8.2",0
"oh","1 wk ahead","Bin","percent","8.2","8.3",0
"oh","1 wk ahead","Bin","percent","8.3","8.4",0
"oh","1 wk ahead","Bin","percent","8.4","8.5",0
"oh","1 wk ahead","Bin","percent","8.5","8.6",0
"oh","1 wk ahead","Bin","percent","8.6","8.7",0
"oh","1 wk ahead","Bin","percent","8.7","8.8",0
"oh","1 wk ahead","Bin","percent","8.8","8.9",0
"oh","1 wk ahead","Bin","percent","8.9","9.0",0
"oh","1 wk ahead","Bin","percent","9.0","9.1",0
"oh","1 wk ahead","Bin","percent","9.1","9.2",0
"oh","1 wk ahead","Bin","percent","9.2","9.3",0
"oh","1 wk ahead","Bin","percent","9.3","9.4",0
"oh","1 wk ahead","Bin","percent","9.4","9.5",0
"oh","1 wk ahead","Bin","percent","9.5","9.6",0
"oh","1 wk ahead","Bin","percent","9.6","9.7",0
"oh","1 wk ahead","Bin","percent","9.7","9.8",0
"oh","1 wk ahead","Bin","percent","9.8","9.9",0
"oh","1 wk ahead","Bin","percent","9.9","10.0",0
"oh","1 wk ahead","Bin","percent","10.0","10.1",0
"oh","1 wk ahead","Bin","percent","10.1","10.2",0
"oh","1 wk ahead","Bin","percent","10.2","10.3",0
"oh","1 wk ahead","Bin","percent","10.3","10.4",0
"oh","1 wk ahead","Bin","percent","10.4","10.5",0
"oh","1 wk ahead","Bin","percent","10.5","10.6",0
"oh","1 wk ahead","Bin","percent","10.6","10.7",0
"oh","1 wk ahead","Bin","percent","10.7","10.8",0
"oh","1 wk ahead","Bin","percent","10.8","10.9",0
"oh","1 wk ahead","Bin","percent","10.9","11.0",0
"oh","1 wk ahead","Bin","percent","11.0","11.1",0
"oh","1 wk ahead","Bin","percent","11.1","11.2",0
"oh","1 wk ahead","Bin","percent","11.2","11.3",0
"oh","1 wk ahead","Bin","percent","11.3","11.4",0
"oh","1 wk ahead","Bin","percent","11.4","11.5",0
"oh","1 wk ahead","Bin","percent","11.5","11.6",0
"oh","1 wk ahead","Bin","percent","11.6","11.7",0
"oh","1 wk ahead","Bin","percent","11.7","11.8",0
"oh","1 wk ahead","Bin","percent","11.8","11.9",0
"oh","1 wk ahead","Bin","percent","11.9","12.0",0
"oh","1 wk ahead","Bin","percent","12.0","12.1",0
"oh","1 wk ahead","Bin","percent","12.1","12.2",0
"oh","1 wk ahead","Bin","percent","12.2","12.3",0
"oh","1 wk ahead","Bin","percent","12.3","12.4",0
"oh","1 wk ahead","Bin","percent","12.4","12.5",0
"oh","1 wk ahead","Bin","percent","12.5","12.6",0
"oh","1 wk ahead","Bin","percent","12.6","12.7",0
"oh","1 wk ahead","Bin","percent","12.7","12.8",0
"oh","1 wk ahead","Bin","percent","12.8","12.9",0
"oh","1 wk ahead","Bin","percent","12.9","13.0",0
"oh","1 wk ahead","Bin","percent","13.0","100.0",0
"oh","2 wk ahead","Point","percent",NA,NA,1.1
"oh","2 wk ahead","Bin","percent","0.0","0.1",0.00327283546563523
"oh","2 wk ahead","Bin","percent","0.1","0.2",0.0177030645641178
"oh","2 wk ahead","Bin","percent","0.2","0.3",0.0441832787860756
"oh","2 wk ahead","Bin","percent","0.3","0.4",0.0538530199345433
"oh","2 wk ahead","Bin","percent","0.4","0.5",0.063671526331449
"oh","2 wk ahead","Bin","percent","0.5","0.6",0.0602499256173758
"oh","2 wk ahead","Bin","percent","0.6","0.7",0.0560844986611128
"oh","2 wk ahead","Bin","percent","0.7","0.8",0.0525141326986016
"oh","2 wk ahead","Bin","percent","0.8","0.9",0.050728949717346
"oh","2 wk ahead","Bin","percent","0.9","1.0",0.0452246355251413
"oh","2 wk ahead","Bin","percent","1.0","1.1",0.0434394525438857
"oh","2 wk ahead","Bin","percent","1.1","1.2",0.0321332936626004
"oh","2 wk ahead","Bin","percent","1.2","1.3",0.0328771199047902
"oh","2 wk ahead","Bin","percent","1.3","1.4",0.0281166319547754
"oh","2 wk ahead","Bin","percent","1.4","1.5",0.0267777447188337
"oh","2 wk ahead","Bin","percent","1.5","1.6",0.0208271347813151
"oh","2 wk ahead","Bin","percent","1.6","1.7",0.0227610830110086
"oh","2 wk ahead","Bin","percent","1.7","1.8",0.0190419518000595
"oh","2 wk ahead","Bin","percent","1.8","1.9",0.0163641773281761
"oh","2 wk ahead","Bin","percent","1.9","2.0",0.0153228205891104
"oh","2 wk ahead","Bin","percent","2.0","2.1",0.0135376376078548
"oh","2 wk ahead","Bin","percent","2.1","2.2",0.0151740553406724
"oh","2 wk ahead","Bin","percent","2.2","2.3",0.0116036893781613
"oh","2 wk ahead","Bin","percent","2.3","2.4",0.0136864028562928
"oh","2 wk ahead","Bin","percent","2.4","2.5",0.0108598631359714
"oh","2 wk ahead","Bin","percent","2.5","2.6",0.0102648021422196
"oh","2 wk ahead","Bin","percent","2.6","2.7",0.00952097590002975
"oh","2 wk ahead","Bin","percent","2.7","2.8",0.00833085391252603
"oh","2 wk ahead","Bin","percent","2.8","2.9",0.00907468015471586
"oh","2 wk ahead","Bin","percent","2.9","3.0",0.00654567093127045
"oh","2 wk ahead","Bin","percent","3.0","3.1",0.00654567093127045
"oh","2 wk ahead","Bin","percent","3.1","3.2",0.00580184468908063
"oh","2 wk ahead","Bin","percent","3.2","3.3",0.00565307944064267
"oh","2 wk ahead","Bin","percent","3.3","3.4",0.00609937518595656
"oh","2 wk ahead","Bin","percent","3.4","3.5",0.00431419220470098
"oh","2 wk ahead","Bin","percent","3.5","3.6",0.00371913121094912
"oh","2 wk ahead","Bin","percent","3.6","3.7",0.00416542695626302
"oh","2 wk ahead","Bin","percent","3.7","3.8",0.00669443617970842
"oh","2 wk ahead","Bin","percent","3.8","3.9",0.00431419220470098
"oh","2 wk ahead","Bin","percent","3.9","4.0",0.00371913121094912
"oh","2 wk ahead","Bin","percent","4.0","4.1",0.00416542695626302
"oh","2 wk ahead","Bin","percent","4.1","4.2",0.00431419220470098
"oh","2 wk ahead","Bin","percent","4.2","4.3",0.00357036596251116
"oh","2 wk ahead","Bin","percent","4.3","4.4",0.0029753049687593
"oh","2 wk ahead","Bin","percent","4.4","4.5",0.00312407021719726
"oh","2 wk ahead","Bin","percent","4.5","4.6",0.00238024397500744
"oh","2 wk ahead","Bin","percent","4.6","4.7",0.00208271347813151
"oh","2 wk ahead","Bin","percent","4.7","4.8",0.00327283546563523
"oh","2 wk ahead","Bin","percent","4.8","4.9",0.00327283546563523
"oh","2 wk ahead","Bin","percent","4.9","5.0",0.00148765248437965
"oh","2 wk ahead","Bin","percent","5.0","5.1",0.0029753049687593
"oh","2 wk ahead","Bin","percent","5.1","5.2",0.00238024397500744
"oh","2 wk ahead","Bin","percent","5.2","5.3",0.0029753049687593
"oh","2 wk ahead","Bin","percent","5.3","5.4",0.00163641773281761
"oh","2 wk ahead","Bin","percent","5.4","5.5",0.00119012198750372
"oh","2 wk ahead","Bin","percent","5.5","5.6",0.00178518298125558
"oh","2 wk ahead","Bin","percent","5.6","5.7",0.00223147872656947
"oh","2 wk ahead","Bin","percent","5.7","5.8",0.00193394822969354
"oh","2 wk ahead","Bin","percent","5.8","5.9",0.0025290092234454
"oh","2 wk ahead","Bin","percent","5.9","6.0",0.00238024397500744
"oh","2 wk ahead","Bin","percent","6.0","6.1",0.00267777447188337
"oh","2 wk ahead","Bin","percent","6.1","6.2",0.00223147872656947
"oh","2 wk ahead","Bin","percent","6.2","6.3",0.00163641773281761
"oh","2 wk ahead","Bin","percent","6.3","6.4",0.00178518298125558
"oh","2 wk ahead","Bin","percent","6.4","6.5",0.00104135673906575
"oh","2 wk ahead","Bin","percent","6.5","6.6",0.00148765248437965
"oh","2 wk ahead","Bin","percent","6.6","6.7",0.00238024397500744
"oh","2 wk ahead","Bin","percent","6.7","6.8",0.00163641773281761
"oh","2 wk ahead","Bin","percent","6.8","6.9",0.000743826242189824
"oh","2 wk ahead","Bin","percent","6.9","7.0",0.000743826242189824
"oh","2 wk ahead","Bin","percent","7.0","7.1",0.000892591490627789
"oh","2 wk ahead","Bin","percent","7.1","7.2",0.00119012198750372
"oh","2 wk ahead","Bin","percent","7.2","7.3",0.00163641773281761
"oh","2 wk ahead","Bin","percent","7.3","7.4",0.00119012198750372
"oh","2 wk ahead","Bin","percent","7.4","7.5",0.00029753049687593
"oh","2 wk ahead","Bin","percent","7.5","7.6",0.00104135673906575
"oh","2 wk ahead","Bin","percent","7.6","7.7",0.000743826242189824
"oh","2 wk ahead","Bin","percent","7.7","7.8",0.000892591490627789
"oh","2 wk ahead","Bin","percent","7.8","7.9",0.00119012198750372
"oh","2 wk ahead","Bin","percent","7.9","8.0",0.000446295745313895
"oh","2 wk ahead","Bin","percent","8.0","8.1",0.00059506099375186
"oh","2 wk ahead","Bin","percent","8.1","8.2",0.00029753049687593
"oh","2 wk ahead","Bin","percent","8.2","8.3",0.00104135673906575
"oh","2 wk ahead","Bin","percent","8.3","8.4",0.00059506099375186
"oh","2 wk ahead","Bin","percent","8.4","8.5",0.00059506099375186
"oh","2 wk ahead","Bin","percent","8.5","8.6",0.000892591490627789
"oh","2 wk ahead","Bin","percent","8.6","8.7",0.000446295745313895
"oh","2 wk ahead","Bin","percent","8.7","8.8",0.00029753049687593
"oh","2 wk ahead","Bin","percent","8.8","8.9",0.00148765248437965
"oh","2 wk ahead","Bin","percent","8.9","9.0",0.000892591490627789
"oh","2 wk ahead","Bin","percent","9.0","9.1",0.00119012198750372
"oh","2 wk ahead","Bin","percent","9.1","9.2",0.00059506099375186
"oh","2 wk ahead","Bin","percent","9.2","9.3",0.000892591490627789
"oh","2 wk ahead","Bin","percent","9.3","9.4",0.000446295745313895
"oh","2 wk ahead","Bin","percent","9.4","9.5",0.000743826242189824
"oh","2 wk ahead","Bin","percent","9.5","9.6",0.00104135673906575
"oh","2 wk ahead","Bin","percent","9.6","9.7",0.00059506099375186
"oh","2 wk ahead","Bin","percent","9.7","9.8",0.000148765248437965
"oh","2 wk ahead","Bin","percent","9.8","9.9",0.00059506099375186
"oh","2 wk ahead","Bin","percent","9.9","10.0",0.000446295745313895
"oh","2 wk ahead","Bin","percent","10.0","10.1",0.00104135673906575
"oh","2 wk ahead","Bin","percent","10.1","10.2",0.00059506099375186
"oh","2 wk ahead","Bin","percent","10.2","10.3",0.000446295745313895
"oh","2 wk ahead","Bin","percent","10.3","10.4",0.000446295745313895
"oh","2 wk ahead","Bin","percent","10.4","10.5",0.00029753049687593
"oh","2 wk ahead","Bin","percent","10.5","10.6",0.000446295745313895
"oh","2 wk ahead","Bin","percent","10.6","10.7",0.00059506099375186
"oh","2 wk ahead","Bin","percent","10.7","10.8",0.00029753049687593
"oh","2 wk ahead","Bin","percent","10.8","10.9",0.000148765248437965
"oh","2 wk ahead","Bin","percent","10.9","11.0",0.000446295745313895
"oh","2 wk ahead","Bin","percent","11.0","11.1",0
"oh","2 wk ahead","Bin","percent","11.1","11.2",0.00059506099375186
"oh","2 wk ahead","Bin","percent","11.2","11.3",0.00059506099375186
"oh","2 wk ahead","Bin","percent","11.3","11.4",0.00029753049687593
"oh","2 wk ahead","Bin","percent","11.4","11.5",0.000743826242189824
"oh","2 wk ahead","Bin","percent","11.5","11.6",0.000148765248437965
"oh","2 wk ahead","Bin","percent","11.6","11.7",0
"oh","2 wk ahead","Bin","percent","11.7","11.8",0.000446295745313895
"oh","2 wk ahead","Bin","percent","11.8","11.9",0.000148765248437965
"oh","2 wk ahead","Bin","percent","11.9","12.0",0.00029753049687593
"oh","2 wk ahead","Bin","percent","12.0","12.1",0.00029753049687593
"oh","2 wk ahead","Bin","percent","12.1","12.2",0.000743826242189824
"oh","2 wk ahead","Bin","percent","12.2","12.3",0.000148765248437965
"oh","2 wk ahead","Bin","percent","12.3","12.4",0
"oh","2 wk ahead","Bin","percent","12.4","12.5",0
"oh","2 wk ahead","Bin","percent","12.5","12.6",0.000148765248437965
"oh","2 wk ahead","Bin","percent","12.6","12.7",0.000743826242189824
"oh","2 wk ahead","Bin","percent","12.7","12.8",0.000446295745313895
"oh","2 wk ahead","Bin","percent","12.8","12.9",0
"oh","2 wk ahead","Bin","percent","12.9","13.0",0.00059506099375186
"oh","2 wk ahead","Bin","percent","13.0","100.0",0.0316869979172865
"oh","3 wk ahead","Point","percent",NA,NA,1
"oh","3 wk ahead","Bin","percent","0.0","0.1",0.0145044319097502
"oh","3 wk ahead","Bin","percent","0.1","0.2",0.0294923448831587
"oh","3 wk ahead","Bin","percent","0.2","0.3",0.0485092667203868
"oh","3 wk ahead","Bin","percent","0.3","0.4",0.0565672844480258
"oh","3 wk ahead","Bin","percent","0.4","0.5",0.0643029814665592
"oh","3 wk ahead","Bin","percent","0.5","0.6",0.0625302175664786
