"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"md","1 wk ahead","Point","percent",NA,NA,2.8
"md","1 wk ahead","Bin","percent","0.0","0.1",0
"md","1 wk ahead","Bin","percent","0.1","0.2",0
"md","1 wk ahead","Bin","percent","0.2","0.3",0
"md","1 wk ahead","Bin","percent","0.3","0.4",0
"md","1 wk ahead","Bin","percent","0.4","0.5",0
"md","1 wk ahead","Bin","percent","0.5","0.6",0
"md","1 wk ahead","Bin","percent","0.6","0.7",0
"md","1 wk ahead","Bin","percent","0.7","0.8",0
"md","1 wk ahead","Bin","percent","0.8","0.9",0
"md","1 wk ahead","Bin","percent","0.9","1.0",0
"md","1 wk ahead","Bin","percent","1.0","1.1",0
"md","1 wk ahead","Bin","percent","1.1","1.2",0
"md","1 wk ahead","Bin","percent","1.2","1.3",0
"md","1 wk ahead","Bin","percent","1.3","1.4",0
"md","1 wk ahead","Bin","percent","1.4","1.5",0
"md","1 wk ahead","Bin","percent","1.5","1.6",0
"md","1 wk ahead","Bin","percent","1.6","1.7",0
"md","1 wk ahead","Bin","percent","1.7","1.8",0
"md","1 wk ahead","Bin","percent","1.8","1.9",0
"md","1 wk ahead","Bin","percent","1.9","2.0",0
"md","1 wk ahead","Bin","percent","2.0","2.1",0
"md","1 wk ahead","Bin","percent","2.1","2.2",0
"md","1 wk ahead","Bin","percent","2.2","2.3",0
"md","1 wk ahead","Bin","percent","2.3","2.4",0
"md","1 wk ahead","Bin","percent","2.4","2.5",0
"md","1 wk ahead","Bin","percent","2.5","2.6",0
"md","1 wk ahead","Bin","percent","2.6","2.7",0
"md","1 wk ahead","Bin","percent","2.7","2.8",0
"md","1 wk ahead","Bin","percent","2.8","2.9",1
"md","1 wk ahead","Bin","percent","2.9","3.0",0
"md","1 wk ahead","Bin","percent","3.0","3.1",0
"md","1 wk ahead","Bin","percent","3.1","3.2",0
"md","1 wk ahead","Bin","percent","3.2","3.3",0
"md","1 wk ahead","Bin","percent","3.3","3.4",0
"md","1 wk ahead","Bin","percent","3.4","3.5",0
"md","1 wk ahead","Bin","percent","3.5","3.6",0
"md","1 wk ahead","Bin","percent","3.6","3.7",0
"md","1 wk ahead","Bin","percent","3.7","3.8",0
"md","1 wk ahead","Bin","percent","3.8","3.9",0
"md","1 wk ahead","Bin","percent","3.9","4.0",0
"md","1 wk ahead","Bin","percent","4.0","4.1",0
"md","1 wk ahead","Bin","percent","4.1","4.2",0
"md","1 wk ahead","Bin","percent","4.2","4.3",0
"md","1 wk ahead","Bin","percent","4.3","4.4",0
"md","1 wk ahead","Bin","percent","4.4","4.5",0
"md","1 wk ahead","Bin","percent","4.5","4.6",0
"md","1 wk ahead","Bin","percent","4.6","4.7",0
"md","1 wk ahead","Bin","percent","4.7","4.8",0
"md","1 wk ahead","Bin","percent","4.8","4.9",0
"md","1 wk ahead","Bin","percent","4.9","5.0",0
"md","1 wk ahead","Bin","percent","5.0","5.1",0
"md","1 wk ahead","Bin","percent","5.1","5.2",0
"md","1 wk ahead","Bin","percent","5.2","5.3",0
"md","1 wk ahead","Bin","percent","5.3","5.4",0
"md","1 wk ahead","Bin","percent","5.4","5.5",0
"md","1 wk ahead","Bin","percent","5.5","5.6",0
"md","1 wk ahead","Bin","percent","5.6","5.7",0
"md","1 wk ahead","Bin","percent","5.7","5.8",0
"md","1 wk ahead","Bin","percent","5.8","5.9",0
"md","1 wk ahead","Bin","percent","5.9","6.0",0
"md","1 wk ahead","Bin","percent","6.0","6.1",0
"md","1 wk ahead","Bin","percent","6.1","6.2",0
"md","1 wk ahead","Bin","percent","6.2","6.3",0
"md","1 wk ahead","Bin","percent","6.3","6.4",0
"md","1 wk ahead","Bin","percent","6.4","6.5",0
"md","1 wk ahead","Bin","percent","6.5","6.6",0
"md","1 wk ahead","Bin","percent","6.6","6.7",0
"md","1 wk ahead","Bin","percent","6.7","6.8",0
"md","1 wk ahead","Bin","percent","6.8","6.9",0
"md","1 wk ahead","Bin","percent","6.9","7.0",0
"md","1 wk ahead","Bin","percent","7.0","7.1",0
"md","1 wk ahead","Bin","percent","7.1","7.2",0
"md","1 wk ahead","Bin","percent","7.2","7.3",0
"md","1 wk ahead","Bin","percent","7.3","7.4",0
"md","1 wk ahead","Bin","percent","7.4","7.5",0
"md","1 wk ahead","Bin","percent","7.5","7.6",0
"md","1 wk ahead","Bin","percent","7.6","7.7",0
"md","1 wk ahead","Bin","percent","7.7","7.8",0
"md","1 wk ahead","Bin","percent","7.8","7.9",0
"md","1 wk ahead","Bin","percent","7.9","8.0",0
"md","1 wk ahead","Bin","percent","8.0","8.1",0
"md","1 wk ahead","Bin","percent","8.1","8.2",0
"md","1 wk ahead","Bin","percent","8.2","8.3",0
"md","1 wk ahead","Bin","percent","8.3","8.4",0
"md","1 wk ahead","Bin","percent","8.4","8.5",0
"md","1 wk ahead","Bin","percent","8.5","8.6",0
"md","1 wk ahead","Bin","percent","8.6","8.7",0
"md","1 wk ahead","Bin","percent","8.7","8.8",0
"md","1 wk ahead","Bin","percent","8.8","8.9",0
"md","1 wk ahead","Bin","percent","8.9","9.0",0
"md","1 wk ahead","Bin","percent","9.0","9.1",0
"md","1 wk ahead","Bin","percent","9.1","9.2",0
"md","1 wk ahead","Bin","percent","9.2","9.3",0
"md","1 wk ahead","Bin","percent","9.3","9.4",0
"md","1 wk ahead","Bin","percent","9.4","9.5",0
"md","1 wk ahead","Bin","percent","9.5","9.6",0
"md","1 wk ahead","Bin","percent","9.6","9.7",0
"md","1 wk ahead","Bin","percent","9.7","9.8",0
"md","1 wk ahead","Bin","percent","9.8","9.9",0
"md","1 wk ahead","Bin","percent","9.9","10.0",0
"md","1 wk ahead","Bin","percent","10.0","10.1",0
"md","1 wk ahead","Bin","percent","10.1","10.2",0
"md","1 wk ahead","Bin","percent","10.2","10.3",0
"md","1 wk ahead","Bin","percent","10.3","10.4",0
"md","1 wk ahead","Bin","percent","10.4","10.5",0
"md","1 wk ahead","Bin","percent","10.5","10.6",0
"md","1 wk ahead","Bin","percent","10.6","10.7",0
"md","1 wk ahead","Bin","percent","10.7","10.8",0
"md","1 wk ahead","Bin","percent","10.8","10.9",0
"md","1 wk ahead","Bin","percent","10.9","11.0",0
"md","1 wk ahead","Bin","percent","11.0","11.1",0
"md","1 wk ahead","Bin","percent","11.1","11.2",0
"md","1 wk ahead","Bin","percent","11.2","11.3",0
"md","1 wk ahead","Bin","percent","11.3","11.4",0
"md","1 wk ahead","Bin","percent","11.4","11.5",0
"md","1 wk ahead","Bin","percent","11.5","11.6",0
"md","1 wk ahead","Bin","percent","11.6","11.7",0
"md","1 wk ahead","Bin","percent","11.7","11.8",0
"md","1 wk ahead","Bin","percent","11.8","11.9",0
"md","1 wk ahead","Bin","percent","11.9","12.0",0
"md","1 wk ahead","Bin","percent","12.0","12.1",0
"md","1 wk ahead","Bin","percent","12.1","12.2",0
"md","1 wk ahead","Bin","percent","12.2","12.3",0
"md","1 wk ahead","Bin","percent","12.3","12.4",0
"md","1 wk ahead","Bin","percent","12.4","12.5",0
"md","1 wk ahead","Bin","percent","12.5","12.6",0
"md","1 wk ahead","Bin","percent","12.6","12.7",0
"md","1 wk ahead","Bin","percent","12.7","12.8",0
"md","1 wk ahead","Bin","percent","12.8","12.9",0
"md","1 wk ahead","Bin","percent","12.9","13.0",0
"md","1 wk ahead","Bin","percent","13.0","100.0",0
"md","2 wk ahead","Point","percent",NA,NA,2
"md","2 wk ahead","Bin","percent","0.0","0.1",0.00237555339596156
"md","2 wk ahead","Bin","percent","0.1","0.2",0.00701868048806824
"md","2 wk ahead","Bin","percent","0.2","0.3",0.0145772594752187
"md","2 wk ahead","Bin","percent","0.3","0.4",0.023107655760717
"md","2 wk ahead","Bin","percent","0.4","0.5",0.0250512903574128
"md","2 wk ahead","Bin","percent","0.5","0.6",0.0319619911456646
"md","2 wk ahead","Bin","percent","0.6","0.7",0.0342295648418097
"md","2 wk ahead","Bin","percent","0.7","0.8",0.0336896663427276
"md","2 wk ahead","Bin","percent","0.8","0.9",0.0367130979375877
"md","2 wk ahead","Bin","percent","0.9","1.0",0.0327178490443797
"md","2 wk ahead","Bin","percent","1.0","1.1",0.0321779505452975
"md","2 wk ahead","Bin","percent","1.1","1.2",0.0317460317460317
"md","2 wk ahead","Bin","percent","1.2","1.3",0.0273188640535579
"md","2 wk ahead","Bin","percent","1.3","1.4",0.0282906813519058
"md","2 wk ahead","Bin","percent","1.4","1.5",0.0265630061548429
"md","2 wk ahead","Bin","percent","1.5","1.6",0.0225677572616348
"md","2 wk ahead","Bin","percent","1.6","1.7",0.0241874527588813
"md","2 wk ahead","Bin","percent","1.7","1.8",0.0203001835654897
"md","2 wk ahead","Bin","percent","1.8","1.9",0.023107655760717
"md","2 wk ahead","Bin","percent","1.9","2.0",0.0199762444660404
"md","2 wk ahead","Bin","percent","2.0","2.1",0.0179246301695281
"md","2 wk ahead","Bin","percent","2.1","2.2",0.0155490767735666
"md","2 wk ahead","Bin","percent","2.2","2.3",0.015657056473383
"md","2 wk ahead","Bin","percent","2.3","2.4",0.014901198574668
"md","2 wk ahead","Bin","percent","2.4","2.5",0.0137134218766872
"md","2 wk ahead","Bin","percent","2.5","2.6",0.0123096857790735
"md","2 wk ahead","Bin","percent","2.6","2.7",0.0123096857790735
"md","2 wk ahead","Bin","percent","2.7","2.8",0.0101500917827448
"md","2 wk ahead","Bin","percent","2.8","2.9",0.0125256451787064
"md","2 wk ahead","Bin","percent","2.9","3.0",0.00885433538494763
"md","2 wk ahead","Bin","percent","3.0","3.1",0.00928625418421337
"md","2 wk ahead","Bin","percent","3.1","3.2",0.0104740308821941
"md","2 wk ahead","Bin","percent","3.2","3.3",0.00745059928733398
"md","2 wk ahead","Bin","percent","3.3","3.4",0.00799049778641615
"md","2 wk ahead","Bin","percent","3.4","3.5",0.00712666018788468
"md","2 wk ahead","Bin","percent","3.5","3.6",0.0062628225893532
"md","2 wk ahead","Bin","percent","3.6","3.7",0.00809847748623259
"md","2 wk ahead","Bin","percent","3.7","3.8",0.00755857898715042
"md","2 wk ahead","Bin","percent","3.8","3.9",0.00712666018788468
"md","2 wk ahead","Bin","percent","3.9","4.0",0.00561494439045459
"md","2 wk ahead","Bin","percent","4.0","4.1",0.00691070078825181
"md","2 wk ahead","Bin","percent","4.1","4.2",0.00507504589137242
"md","2 wk ahead","Bin","percent","4.2","4.3",0.00518302559118886
"md","2 wk ahead","Bin","percent","4.3","4.4",0.00572292409027103
"md","2 wk ahead","Bin","percent","4.4","4.5",0.00561494439045459
"md","2 wk ahead","Bin","percent","4.5","4.6",0.00453514739229025
"md","2 wk ahead","Bin","percent","4.6","4.7",0.00485908649173955
"md","2 wk ahead","Bin","percent","4.7","4.8",0.00377928949357521
"md","2 wk ahead","Bin","percent","4.8","4.9",0.00399524889320808
"md","2 wk ahead","Bin","percent","4.9","5.0",0.00453514739229025
"md","2 wk ahead","Bin","percent","5.0","5.1",0.00529100529100529
"md","2 wk ahead","Bin","percent","5.1","5.2",0.00431918799265738
"md","2 wk ahead","Bin","percent","5.2","5.3",0.0034553503941259
"md","2 wk ahead","Bin","percent","5.3","5.4",0.00442716769247382
"md","2 wk ahead","Bin","percent","5.4","5.5",0.0031314112946766
"md","2 wk ahead","Bin","percent","5.5","5.6",0.00421120829284095
"md","2 wk ahead","Bin","percent","5.6","5.7",0.00356333009394234
