"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"md","1 wk ahead","Point","percent",NA,NA,1.3
"md","1 wk ahead","Bin","percent","0.0","0.1",0
"md","1 wk ahead","Bin","percent","0.1","0.2",0
"md","1 wk ahead","Bin","percent","0.2","0.3",0
"md","1 wk ahead","Bin","percent","0.3","0.4",0
"md","1 wk ahead","Bin","percent","0.4","0.5",0
"md","1 wk ahead","Bin","percent","0.5","0.6",3e-04
"md","1 wk ahead","Bin","percent","0.6","0.7",0.0021
"md","1 wk ahead","Bin","percent","0.7","0.8",0.0129
"md","1 wk ahead","Bin","percent","0.8","0.9",0.0334
"md","1 wk ahead","Bin","percent","0.9","1.0",0.0604
"md","1 wk ahead","Bin","percent","1.0","1.1",0.0885
"md","1 wk ahead","Bin","percent","1.1","1.2",0.107
"md","1 wk ahead","Bin","percent","1.2","1.3",0.1164
"md","1 wk ahead","Bin","percent","1.3","1.4",0.1115
"md","1 wk ahead","Bin","percent","1.4","1.5",0.0979
"md","1 wk ahead","Bin","percent","1.5","1.6",0.0849
"md","1 wk ahead","Bin","percent","1.6","1.7",0.066
"md","1 wk ahead","Bin","percent","1.7","1.8",0.0526
"md","1 wk ahead","Bin","percent","1.8","1.9",0.041
"md","1 wk ahead","Bin","percent","1.9","2.0",0.0302
"md","1 wk ahead","Bin","percent","2.0","2.1",0.0215
"md","1 wk ahead","Bin","percent","2.1","2.2",0.0198
"md","1 wk ahead","Bin","percent","2.2","2.3",0.0137
"md","1 wk ahead","Bin","percent","2.3","2.4",0.0082
"md","1 wk ahead","Bin","percent","2.4","2.5",0.0077
"md","1 wk ahead","Bin","percent","2.5","2.6",0.0047
"md","1 wk ahead","Bin","percent","2.6","2.7",0.0041
"md","1 wk ahead","Bin","percent","2.7","2.8",0.0039
"md","1 wk ahead","Bin","percent","2.8","2.9",0.0027
"md","1 wk ahead","Bin","percent","2.9","3.0",0.0019
"md","1 wk ahead","Bin","percent","3.0","3.1",0.0019
"md","1 wk ahead","Bin","percent","3.1","3.2",0.0014
"md","1 wk ahead","Bin","percent","3.2","3.3",4e-04
"md","1 wk ahead","Bin","percent","3.3","3.4",5e-04
"md","1 wk ahead","Bin","percent","3.4","3.5",4e-04
"md","1 wk ahead","Bin","percent","3.5","3.6",4e-04
"md","1 wk ahead","Bin","percent","3.6","3.7",4e-04
"md","1 wk ahead","Bin","percent","3.7","3.8",5e-04
"md","1 wk ahead","Bin","percent","3.8","3.9",1e-04
"md","1 wk ahead","Bin","percent","3.9","4.0",1e-04
"md","1 wk ahead","Bin","percent","4.0","4.1",1e-04
"md","1 wk ahead","Bin","percent","4.1","4.2",1e-04
"md","1 wk ahead","Bin","percent","4.2","4.3",0
"md","1 wk ahead","Bin","percent","4.3","4.4",1e-04
"md","1 wk ahead","Bin","percent","4.4","4.5",0
"md","1 wk ahead","Bin","percent","4.5","4.6",0
"md","1 wk ahead","Bin","percent","4.6","4.7",0
"md","1 wk ahead","Bin","percent","4.7","4.8",0
"md","1 wk ahead","Bin","percent","4.8","4.9",1e-04
"md","1 wk ahead","Bin","percent","4.9","5.0",0
"md","1 wk ahead","Bin","percent","5.0","5.1",0
"md","1 wk ahead","Bin","percent","5.1","5.2",0
"md","1 wk ahead","Bin","percent","5.2","5.3",0
"md","1 wk ahead","Bin","percent","5.3","5.4",0
"md","1 wk ahead","Bin","percent","5.4","5.5",0
"md","1 wk ahead","Bin","percent","5.5","5.6",1e-04
"md","1 wk ahead","Bin","percent","5.6","5.7",0
"md","1 wk ahead","Bin","percent","5.7","5.8",0
"md","1 wk ahead","Bin","percent","5.8","5.9",0
"md","1 wk ahead","Bin","percent","5.9","6.0",0
"md","1 wk ahead","Bin","percent","6.0","6.1",1e-04
"md","1 wk ahead","Bin","percent","6.1","6.2",0
"md","1 wk ahead","Bin","percent","6.2","6.3",0
"md","1 wk ahead","Bin","percent","6.3","6.4",0
"md","1 wk ahead","Bin","percent","6.4","6.5",0
"md","1 wk ahead","Bin","percent","6.5","6.6",0
"md","1 wk ahead","Bin","percent","6.6","6.7",0
"md","1 wk ahead","Bin","percent","6.7","6.8",0
"md","1 wk ahead","Bin","percent","6.8","6.9",0
"md","1 wk ahead","Bin","percent","6.9","7.0",0
"md","1 wk ahead","Bin","percent","7.0","7.1",0
"md","1 wk ahead","Bin","percent","7.1","7.2",0
"md","1 wk ahead","Bin","percent","7.2","7.3",0
"md","1 wk ahead","Bin","percent","7.3","7.4",0
"md","1 wk ahead","Bin","percent","7.4","7.5",0
"md","1 wk ahead","Bin","percent","7.5","7.6",0
"md","1 wk ahead","Bin","percent","7.6","7.7",0
"md","1 wk ahead","Bin","percent","7.7","7.8",0
"md","1 wk ahead","Bin","percent","7.8","7.9",0
"md","1 wk ahead","Bin","percent","7.9","8.0",0
"md","1 wk ahead","Bin","percent","8.0","8.1",0
"md","1 wk ahead","Bin","percent","8.1","8.2",0
"md","1 wk ahead","Bin","percent","8.2","8.3",0
"md","1 wk ahead","Bin","percent","8.3","8.4",0
"md","1 wk ahead","Bin","percent","8.4","8.5",0
"md","1 wk ahead","Bin","percent","8.5","8.6",0
"md","1 wk ahead","Bin","percent","8.6","8.7",0
"md","1 wk ahead","Bin","percent","8.7","8.8",0
"md","1 wk ahead","Bin","percent","8.8","8.9",0
"md","1 wk ahead","Bin","percent","8.9","9.0",0
"md","1 wk ahead","Bin","percent","9.0","9.1",0
"md","1 wk ahead","Bin","percent","9.1","9.2",0
"md","1 wk ahead","Bin","percent","9.2","9.3",0
"md","1 wk ahead","Bin","percent","9.3","9.4",0
"md","1 wk ahead","Bin","percent","9.4","9.5",0
"md","1 wk ahead","Bin","percent","9.5","9.6",0
"md","1 wk ahead","Bin","percent","9.6","9.7",0
"md","1 wk ahead","Bin","percent","9.7","9.8",0
"md","1 wk ahead","Bin","percent","9.8","9.9",0
"md","1 wk ahead","Bin","percent","9.9","10.0",0
"md","1 wk ahead","Bin","percent","10.0","10.1",0
"md","1 wk ahead","Bin","percent","10.1","10.2",0
"md","1 wk ahead","Bin","percent","10.2","10.3",0
"md","1 wk ahead","Bin","percent","10.3","10.4",0
"md","1 wk ahead","Bin","percent","10.4","10.5",0
"md","1 wk ahead","Bin","percent","10.5","10.6",0
"md","1 wk ahead","Bin","percent","10.6","10.7",0
"md","1 wk ahead","Bin","percent","10.7","10.8",0
"md","1 wk ahead","Bin","percent","10.8","10.9",0
"md","1 wk ahead","Bin","percent","10.9","11.0",0
"md","1 wk ahead","Bin","percent","11.0","11.1",0
"md","1 wk ahead","Bin","percent","11.1","11.2",0
"md","1 wk ahead","Bin","percent","11.2","11.3",0
"md","1 wk ahead","Bin","percent","11.3","11.4",0
"md","1 wk ahead","Bin","percent","11.4","11.5",0
"md","1 wk ahead","Bin","percent","11.5","11.6",0
"md","1 wk ahead","Bin","percent","11.6","11.7",0
"md","1 wk ahead","Bin","percent","11.7","11.8",0
"md","1 wk ahead","Bin","percent","11.8","11.9",0
"md","1 wk ahead","Bin","percent","11.9","12.0",0
"md","1 wk ahead","Bin","percent","12.0","12.1",0
"md","1 wk ahead","Bin","percent","12.1","12.2",0
"md","1 wk ahead","Bin","percent","12.2","12.3",0
"md","1 wk ahead","Bin","percent","12.3","12.4",0
"md","1 wk ahead","Bin","percent","12.4","12.5",0
"md","1 wk ahead","Bin","percent","12.5","12.6",0
"md","1 wk ahead","Bin","percent","12.6","12.7",0
"md","1 wk ahead","Bin","percent","12.7","12.8",0
"md","1 wk ahead","Bin","percent","12.8","12.9",0
"md","1 wk ahead","Bin","percent","12.9","13.0",0
"md","1 wk ahead","Bin","percent","13.0","100.0",0
"md","2 wk ahead","Point","percent",NA,NA,1.4
"md","2 wk ahead","Bin","percent","0.0","0.1",0
"md","2 wk ahead","Bin","percent","0.1","0.2",0
"md","2 wk ahead","Bin","percent","0.2","0.3",0
"md","2 wk ahead","Bin","percent","0.3","0.4",0
"md","2 wk ahead","Bin","percent","0.4","0.5",4e-04
"md","2 wk ahead","Bin","percent","0.5","0.6",0.0015
"md","2 wk ahead","Bin","percent","0.6","0.7",0.0056
"md","2 wk ahead","Bin","percent","0.7","0.8",0.0194
"md","2 wk ahead","Bin","percent","0.8","0.9",0.0416
"md","2 wk ahead","Bin","percent","0.9","1.0",0.0679
"md","2 wk ahead","Bin","percent","1.0","1.1",0.0804
"md","2 wk ahead","Bin","percent","1.1","1.2",0.0909
"md","2 wk ahead","Bin","percent","1.2","1.3",0.0964
"md","2 wk ahead","Bin","percent","1.3","1.4",0.0891
"md","2 wk ahead","Bin","percent","1.4","1.5",0.0845
"md","2 wk ahead","Bin","percent","1.5","1.6",0.0758
"md","2 wk ahead","Bin","percent","1.6","1.7",0.062
"md","2 wk ahead","Bin","percent","1.7","1.8",0.0487
"md","2 wk ahead","Bin","percent","1.8","1.9",0.0417
"md","2 wk ahead","Bin","percent","1.9","2.0",0.036
"md","2 wk ahead","Bin","percent","2.0","2.1",0.0253
"md","2 wk ahead","Bin","percent","2.1","2.2",0.0237
"md","2 wk ahead","Bin","percent","2.2","2.3",0.0192
"md","2 wk ahead","Bin","percent","2.3","2.4",0.0158
"md","2 wk ahead","Bin","percent","2.4","2.5",0.0118
"md","2 wk ahead","Bin","percent","2.5","2.6",0.0106
