"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"mo","1 wk ahead","Point","percent",NA,NA,2.2
"mo","1 wk ahead","Bin","percent","0.0","0.1",0
"mo","1 wk ahead","Bin","percent","0.1","0.2",0
"mo","1 wk ahead","Bin","percent","0.2","0.3",0
"mo","1 wk ahead","Bin","percent","0.3","0.4",0
"mo","1 wk ahead","Bin","percent","0.4","0.5",0
"mo","1 wk ahead","Bin","percent","0.5","0.6",1e-04
"mo","1 wk ahead","Bin","percent","0.6","0.7",2e-04
"mo","1 wk ahead","Bin","percent","0.7","0.8",7e-04
"mo","1 wk ahead","Bin","percent","0.8","0.9",0.0016
"mo","1 wk ahead","Bin","percent","0.9","1.0",0.0049
"mo","1 wk ahead","Bin","percent","1.0","1.1",0.0088
"mo","1 wk ahead","Bin","percent","1.1","1.2",0.0137
"mo","1 wk ahead","Bin","percent","1.2","1.3",0.0219
"mo","1 wk ahead","Bin","percent","1.3","1.4",0.027
"mo","1 wk ahead","Bin","percent","1.4","1.5",0.0339
"mo","1 wk ahead","Bin","percent","1.5","1.6",0.0405
"mo","1 wk ahead","Bin","percent","1.6","1.7",0.0454
"mo","1 wk ahead","Bin","percent","1.7","1.8",0.0483
"mo","1 wk ahead","Bin","percent","1.8","1.9",0.0549
"mo","1 wk ahead","Bin","percent","1.9","2.0",0.0552
"mo","1 wk ahead","Bin","percent","2.0","2.1",0.0544
"mo","1 wk ahead","Bin","percent","2.1","2.2",0.0553
"mo","1 wk ahead","Bin","percent","2.2","2.3",0.0503
"mo","1 wk ahead","Bin","percent","2.3","2.4",0.0498
"mo","1 wk ahead","Bin","percent","2.4","2.5",0.0427
"mo","1 wk ahead","Bin","percent","2.5","2.6",0.0437
"mo","1 wk ahead","Bin","percent","2.6","2.7",0.041
"mo","1 wk ahead","Bin","percent","2.7","2.8",0.0333
"mo","1 wk ahead","Bin","percent","2.8","2.9",0.0306
"mo","1 wk ahead","Bin","percent","2.9","3.0",0.0304
"mo","1 wk ahead","Bin","percent","3.0","3.1",0.0236
"mo","1 wk ahead","Bin","percent","3.1","3.2",0.024
"mo","1 wk ahead","Bin","percent","3.2","3.3",0.0197
"mo","1 wk ahead","Bin","percent","3.3","3.4",0.0182
"mo","1 wk ahead","Bin","percent","3.4","3.5",0.0168
"mo","1 wk ahead","Bin","percent","3.5","3.6",0.0124
"mo","1 wk ahead","Bin","percent","3.6","3.7",0.0116
"mo","1 wk ahead","Bin","percent","3.7","3.8",0.0091
"mo","1 wk ahead","Bin","percent","3.8","3.9",0.0107
"mo","1 wk ahead","Bin","percent","3.9","4.0",0.0089
"mo","1 wk ahead","Bin","percent","4.0","4.1",0.0062
"mo","1 wk ahead","Bin","percent","4.1","4.2",0.0074
"mo","1 wk ahead","Bin","percent","4.2","4.3",0.0054
"mo","1 wk ahead","Bin","percent","4.3","4.4",0.0039
"mo","1 wk ahead","Bin","percent","4.4","4.5",0.0033
"mo","1 wk ahead","Bin","percent","4.5","4.6",0.0042
"mo","1 wk ahead","Bin","percent","4.6","4.7",0.0027
"mo","1 wk ahead","Bin","percent","4.7","4.8",0.0028
"mo","1 wk ahead","Bin","percent","4.8","4.9",0.002
"mo","1 wk ahead","Bin","percent","4.9","5.0",0.0026
"mo","1 wk ahead","Bin","percent","5.0","5.1",0.0013
"mo","1 wk ahead","Bin","percent","5.1","5.2",0.0021
