"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"in","1 wk ahead","Point","percent",NA,NA,3.5
"in","1 wk ahead","Bin","percent","0.0","0.1",0
"in","1 wk ahead","Bin","percent","0.1","0.2",0
"in","1 wk ahead","Bin","percent","0.2","0.3",0
"in","1 wk ahead","Bin","percent","0.3","0.4",0
"in","1 wk ahead","Bin","percent","0.4","0.5",0
"in","1 wk ahead","Bin","percent","0.5","0.6",0
"in","1 wk ahead","Bin","percent","0.6","0.7",0
"in","1 wk ahead","Bin","percent","0.7","0.8",0
"in","1 wk ahead","Bin","percent","0.8","0.9",0
"in","1 wk ahead","Bin","percent","0.9","1.0",0
"in","1 wk ahead","Bin","percent","1.0","1.1",0
"in","1 wk ahead","Bin","percent","1.1","1.2",0
"in","1 wk ahead","Bin","percent","1.2","1.3",1e-04
"in","1 wk ahead","Bin","percent","1.3","1.4",2e-04
"in","1 wk ahead","Bin","percent","1.4","1.5",4e-04
"in","1 wk ahead","Bin","percent","1.5","1.6",0.0021
"in","1 wk ahead","Bin","percent","1.6","1.7",0.003
"in","1 wk ahead","Bin","percent","1.7","1.8",0.0044
"in","1 wk ahead","Bin","percent","1.8","1.9",0.0062
"in","1 wk ahead","Bin","percent","1.9","2.0",0.0077
"in","1 wk ahead","Bin","percent","2.0","2.1",0.0117
"in","1 wk ahead","Bin","percent","2.1","2.2",0.0134
"in","1 wk ahead","Bin","percent","2.2","2.3",0.0187
"in","1 wk ahead","Bin","percent","2.3","2.4",0.0204
"in","1 wk ahead","Bin","percent","2.4","2.5",0.0258
"in","1 wk ahead","Bin","percent","2.5","2.6",0.0273
"in","1 wk ahead","Bin","percent","2.6","2.7",0.03
"in","1 wk ahead","Bin","percent","2.7","2.8",0.0326
"in","1 wk ahead","Bin","percent","2.8","2.9",0.037
"in","1 wk ahead","Bin","percent","2.9","3.0",0.0388
"in","1 wk ahead","Bin","percent","3.0","3.1",0.0352
"in","1 wk ahead","Bin","percent","3.1","3.2",0.0379
"in","1 wk ahead","Bin","percent","3.2","3.3",0.0408
"in","1 wk ahead","Bin","percent","3.3","3.4",0.0342
"in","1 wk ahead","Bin","percent","3.4","3.5",0.0354
"in","1 wk ahead","Bin","percent","3.5","3.6",0.0373
"in","1 wk ahead","Bin","percent","3.6","3.7",0.034
"in","1 wk ahead","Bin","percent","3.7","3.8",0.0337
"in","1 wk ahead","Bin","percent","3.8","3.9",0.0296
"in","1 wk ahead","Bin","percent","3.9","4.0",0.0323
"in","1 wk ahead","Bin","percent","4.0","4.1",0.0276
"in","1 wk ahead","Bin","percent","4.1","4.2",0.0263
"in","1 wk ahead","Bin","percent","4.2","4.3",0.0259
"in","1 wk ahead","Bin","percent","4.3","4.4",0.0245
"in","1 wk ahead","Bin","percent","4.4","4.5",0.0247
"in","1 wk ahead","Bin","percent","4.5","4.6",0.0174
"in","1 wk ahead","Bin","percent","4.6","4.7",0.0184
"in","1 wk ahead","Bin","percent","4.7","4.8",0.0155
"in","1 wk ahead","Bin","percent","4.8","4.9",0.018
"in","1 wk ahead","Bin","percent","4.9","5.0",0.0121
"in","1 wk ahead","Bin","percent","5.0","5.1",0.0149
"in","1 wk ahead","Bin","percent","5.1","5.2",0.0121
"in","1 wk ahead","Bin","percent","5.2","5.3",0.011
"in","1 wk ahead","Bin","percent","5.3","5.4",0.0124
"in","1 wk ahead","Bin","percent","5.4","5.5",0.0102
"in","1 wk ahead","Bin","percent","5.5","5.6",0.0093
"in","1 wk ahead","Bin","percent","5.6","5.7",0.0081
"in","1 wk ahead","Bin","percent","5.7","5.8",0.0076
"in","1 wk ahead","Bin","percent","5.8","5.9",0.0069
"in","1 wk ahead","Bin","percent","5.9","6.0",0.0052
"in","1 wk ahead","Bin","percent","6.0","6.1",0.0045
"in","1 wk ahead","Bin","percent","6.1","6.2",0.0054
"in","1 wk ahead","Bin","percent","6.2","6.3",0.0044
"in","1 wk ahead","Bin","percent","6.3","6.4",0.0043
"in","1 wk ahead","Bin","percent","6.4","6.5",0.0033
"in","1 wk ahead","Bin","percent","6.5","6.6",0.0029
"in","1 wk ahead","Bin","percent","6.6","6.7",0.0028
"in","1 wk ahead","Bin","percent","6.7","6.8",0.0036
"in","1 wk ahead","Bin","percent","6.8","6.9",0.0023
"in","1 wk ahead","Bin","percent","6.9","7.0",0.0026
"in","1 wk ahead","Bin","percent","7.0","7.1",0.0017
"in","1 wk ahead","Bin","percent","7.1","7.2",0.0024
"in","1 wk ahead","Bin","percent","7.2","7.3",0.002
"in","1 wk ahead","Bin","percent","7.3","7.4",0.0018
"in","1 wk ahead","Bin","percent","7.4","7.5",9e-04
"in","1 wk ahead","Bin","percent","7.5","7.6",0.002
"in","1 wk ahead","Bin","percent","7.6","7.7",0.0013
"in","1 wk ahead","Bin","percent","7.7","7.8",5e-04
"in","1 wk ahead","Bin","percent","7.8","7.9",0.001
"in","1 wk ahead","Bin","percent","7.9","8.0",6e-04
"in","1 wk ahead","Bin","percent","8.0","8.1",8e-04
"in","1 wk ahead","Bin","percent","8.1","8.2",9e-04
"in","1 wk ahead","Bin","percent","8.2","8.3",0.001
"in","1 wk ahead","Bin","percent","8.3","8.4",5e-04
"in","1 wk ahead","Bin","percent","8.4","8.5",9e-04
"in","1 wk ahead","Bin","percent","8.5","8.6",7e-04
"in","1 wk ahead","Bin","percent","8.6","8.7",6e-04
"in","1 wk ahead","Bin","percent","8.7","8.8",5e-04
"in","1 wk ahead","Bin","percent","8.8","8.9",6e-04
"in","1 wk ahead","Bin","percent","8.9","9.0",8e-04
