"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"ky","1 wk ahead","Point","percent",NA,NA,3.3
"ky","1 wk ahead","Bin","percent","0.0","0.1",0
"ky","1 wk ahead","Bin","percent","0.1","0.2",0
"ky","1 wk ahead","Bin","percent","0.2","0.3",0
"ky","1 wk ahead","Bin","percent","0.3","0.4",0
"ky","1 wk ahead","Bin","percent","0.4","0.5",0
"ky","1 wk ahead","Bin","percent","0.5","0.6",0
"ky","1 wk ahead","Bin","percent","0.6","0.7",0
"ky","1 wk ahead","Bin","percent","0.7","0.8",0
"ky","1 wk ahead","Bin","percent","0.8","0.9",0
"ky","1 wk ahead","Bin","percent","0.9","1.0",1e-04
"ky","1 wk ahead","Bin","percent","1.0","1.1",2e-04
"ky","1 wk ahead","Bin","percent","1.1","1.2",6e-04
"ky","1 wk ahead","Bin","percent","1.2","1.3",0.0027
"ky","1 wk ahead","Bin","percent","1.3","1.4",0.0038
"ky","1 wk ahead","Bin","percent","1.4","1.5",0.0045
"ky","1 wk ahead","Bin","percent","1.5","1.6",0.0077
"ky","1 wk ahead","Bin","percent","1.6","1.7",0.0094
"ky","1 wk ahead","Bin","percent","1.7","1.8",0.0145
"ky","1 wk ahead","Bin","percent","1.8","1.9",0.0153
"ky","1 wk ahead","Bin","percent","1.9","2.0",0.0198
"ky","1 wk ahead","Bin","percent","2.0","2.1",0.0232
"ky","1 wk ahead","Bin","percent","2.1","2.2",0.0259
"ky","1 wk ahead","Bin","percent","2.2","2.3",0.0267
"ky","1 wk ahead","Bin","percent","2.3","2.4",0.0315
"ky","1 wk ahead","Bin","percent","2.4","2.5",0.0307
"ky","1 wk ahead","Bin","percent","2.5","2.6",0.0361
"ky","1 wk ahead","Bin","percent","2.6","2.7",0.0359
"ky","1 wk ahead","Bin","percent","2.7","2.8",0.0345
"ky","1 wk ahead","Bin","percent","2.8","2.9",0.0343
"ky","1 wk ahead","Bin","percent","2.9","3.0",0.037
"ky","1 wk ahead","Bin","percent","3.0","3.1",0.0308
"ky","1 wk ahead","Bin","percent","3.1","3.2",0.0314
"ky","1 wk ahead","Bin","percent","3.2","3.3",0.033
"ky","1 wk ahead","Bin","percent","3.3","3.4",0.0296
"ky","1 wk ahead","Bin","percent","3.4","3.5",0.0307
"ky","1 wk ahead","Bin","percent","3.5","3.6",0.0272
"ky","1 wk ahead","Bin","percent","3.6","3.7",0.0245
"ky","1 wk ahead","Bin","percent","3.7","3.8",0.0281
"ky","1 wk ahead","Bin","percent","3.8","3.9",0.0221
"ky","1 wk ahead","Bin","percent","3.9","4.0",0.0221
"ky","1 wk ahead","Bin","percent","4.0","4.1",0.0224
"ky","1 wk ahead","Bin","percent","4.1","4.2",0.0204
"ky","1 wk ahead","Bin","percent","4.2","4.3",0.0193
"ky","1 wk ahead","Bin","percent","4.3","4.4",0.02
"ky","1 wk ahead","Bin","percent","4.4","4.5",0.0155
"ky","1 wk ahead","Bin","percent","4.5","4.6",0.0141
"ky","1 wk ahead","Bin","percent","4.6","4.7",0.0135
"ky","1 wk ahead","Bin","percent","4.7","4.8",0.0124
"ky","1 wk ahead","Bin","percent","4.8","4.9",0.0139
"ky","1 wk ahead","Bin","percent","4.9","5.0",0.0105
"ky","1 wk ahead","Bin","percent","5.0","5.1",0.0104
"ky","1 wk ahead","Bin","percent","5.1","5.2",0.0105
"ky","1 wk ahead","Bin","percent","5.2","5.3",0.0087
"ky","1 wk ahead","Bin","percent","5.3","5.4",0.0094
"ky","1 wk ahead","Bin","percent","5.4","5.5",0.0078
"ky","1 wk ahead","Bin","percent","5.5","5.6",0.0091
"ky","1 wk ahead","Bin","percent","5.6","5.7",0.007
"ky","1 wk ahead","Bin","percent","5.7","5.8",0.0073
"ky","1 wk ahead","Bin","percent","5.8","5.9",0.0065
"ky","1 wk ahead","Bin","percent","5.9","6.0",0.0054
"ky","1 wk ahead","Bin","percent","6.0","6.1",0.0051
"ky","1 wk ahead","Bin","percent","6.1","6.2",0.0059
"ky","1 wk ahead","Bin","percent","6.2","6.3",0.0044
"ky","1 wk ahead","Bin","percent","6.3","6.4",0.0034
"ky","1 wk ahead","Bin","percent","6.4","6.5",0.0033
"ky","1 wk ahead","Bin","percent","6.5","6.6",0.0038
"ky","1 wk ahead","Bin","percent","6.6","6.7",0.0036
"ky","1 wk ahead","Bin","percent","6.7","6.8",0.0027
"ky","1 wk ahead","Bin","percent","6.8","6.9",0.0031
"ky","1 wk ahead","Bin","percent","6.9","7.0",0.0029
"ky","1 wk ahead","Bin","percent","7.0","7.1",0.0022
"ky","1 wk ahead","Bin","percent","7.1","7.2",0.0023
"ky","1 wk ahead","Bin","percent","7.2","7.3",0.0015
"ky","1 wk ahead","Bin","percent","7.3","7.4",0.0021
"ky","1 wk ahead","Bin","percent","7.4","7.5",0.0021
"ky","1 wk ahead","Bin","percent","7.5","7.6",0.0022
"ky","1 wk ahead","Bin","percent","7.6","7.7",0.002
"ky","1 wk ahead","Bin","percent","7.7","7.8",0.0012
"ky","1 wk ahead","Bin","percent","7.8","7.9",0.0015
"ky","1 wk ahead","Bin","percent","7.9","8.0",0.0016
"ky","1 wk ahead","Bin","percent","8.0","8.1",9e-04
"ky","1 wk ahead","Bin","percent","8.1","8.2",0.0012
"ky","1 wk ahead","Bin","percent","8.2","8.3",0.002
"ky","1 wk ahead","Bin","percent","8.3","8.4",0.0012
