"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"nd","1 wk ahead","Point","percent",NA,NA,1.2
"nd","1 wk ahead","Bin","percent","0.0","0.1",0.0039
"nd","1 wk ahead","Bin","percent","0.1","0.2",0.0125
"nd","1 wk ahead","Bin","percent","0.2","0.3",0.0224
"nd","1 wk ahead","Bin","percent","0.3","0.4",0.0317
"nd","1 wk ahead","Bin","percent","0.4","0.5",0.0444
"nd","1 wk ahead","Bin","percent","0.5","0.6",0.0535
"nd","1 wk ahead","Bin","percent","0.6","0.7",0.0576
"nd","1 wk ahead","Bin","percent","0.7","0.8",0.0578
"nd","1 wk ahead","Bin","percent","0.8","0.9",0.0552
"nd","1 wk ahead","Bin","percent","0.9","1.0",0.0551
"nd","1 wk ahead","Bin","percent","1.0","1.1",0.051
"nd","1 wk ahead","Bin","percent","1.1","1.2",0.0493
"nd","1 wk ahead","Bin","percent","1.2","1.3",0.0422
"nd","1 wk ahead","Bin","percent","1.3","1.4",0.0429
"nd","1 wk ahead","Bin","percent","1.4","1.5",0.0367
"nd","1 wk ahead","Bin","percent","1.5","1.6",0.0345
"nd","1 wk ahead","Bin","percent","1.6","1.7",0.0307
"nd","1 wk ahead","Bin","percent","1.7","1.8",0.0311
"nd","1 wk ahead","Bin","percent","1.8","1.9",0.0248
"nd","1 wk ahead","Bin","percent","1.9","2.0",0.0256
"nd","1 wk ahead","Bin","percent","2.0","2.1",0.0181
"nd","1 wk ahead","Bin","percent","2.1","2.2",0.0182
"nd","1 wk ahead","Bin","percent","2.2","2.3",0.0177
"nd","1 wk ahead","Bin","percent","2.3","2.4",0.017
"nd","1 wk ahead","Bin","percent","2.4","2.5",0.0129
"nd","1 wk ahead","Bin","percent","2.5","2.6",0.0112
"nd","1 wk ahead","Bin","percent","2.6","2.7",0.0117
"nd","1 wk ahead","Bin","percent","2.7","2.8",0.0106
"nd","1 wk ahead","Bin","percent","2.8","2.9",0.0088
"nd","1 wk ahead","Bin","percent","2.9","3.0",0.0082
"nd","1 wk ahead","Bin","percent","3.0","3.1",0.0062
"nd","1 wk ahead","Bin","percent","3.1","3.2",0.0079
"nd","1 wk ahead","Bin","percent","3.2","3.3",0.0066
"nd","1 wk ahead","Bin","percent","3.3","3.4",0.0046
"nd","1 wk ahead","Bin","percent","3.4","3.5",0.0059
"nd","1 wk ahead","Bin","percent","3.5","3.6",0.0041
"nd","1 wk ahead","Bin","percent","3.6","3.7",0.0042
"nd","1 wk ahead","Bin","percent","3.7","3.8",0.004
"nd","1 wk ahead","Bin","percent","3.8","3.9",0.004
"nd","1 wk ahead","Bin","percent","3.9","4.0",0.004
"nd","1 wk ahead","Bin","percent","4.0","4.1",0.0036
"nd","1 wk ahead","Bin","percent","4.1","4.2",0.0031
"nd","1 wk ahead","Bin","percent","4.2","4.3",0.002
"nd","1 wk ahead","Bin","percent","4.3","4.4",0.0035
"nd","1 wk ahead","Bin","percent","4.4","4.5",0.0014
"nd","1 wk ahead","Bin","percent","4.5","4.6",0.0016
"nd","1 wk ahead","Bin","percent","4.6","4.7",0.0021
"nd","1 wk ahead","Bin","percent","4.7","4.8",0.002
"nd","1 wk ahead","Bin","percent","4.8","4.9",0.0012
"nd","1 wk ahead","Bin","percent","4.9","5.0",0.0018
"nd","1 wk ahead","Bin","percent","5.0","5.1",0.0013
"nd","1 wk ahead","Bin","percent","5.1","5.2",7e-04
"nd","1 wk ahead","Bin","percent","5.2","5.3",0.0019
"nd","1 wk ahead","Bin","percent","5.3","5.4",0.0012
"nd","1 wk ahead","Bin","percent","5.4","5.5",8e-04
"nd","1 wk ahead","Bin","percent","5.5","5.6",0.001
"nd","1 wk ahead","Bin","percent","5.6","5.7",9e-04
"nd","1 wk ahead","Bin","percent","5.7","5.8",4e-04
"nd","1 wk ahead","Bin","percent","5.8","5.9",8e-04
"nd","1 wk ahead","Bin","percent","5.9","6.0",6e-04
"nd","1 wk ahead","Bin","percent","6.0","6.1",5e-04
"nd","1 wk ahead","Bin","percent","6.1","6.2",0.001
"nd","1 wk ahead","Bin","percent","6.2","6.3",6e-04
"nd","1 wk ahead","Bin","percent","6.3","6.4",2e-04
"nd","1 wk ahead","Bin","percent","6.4","6.5",7e-04
"nd","1 wk ahead","Bin","percent","6.5","6.6",4e-04
"nd","1 wk ahead","Bin","percent","6.6","6.7",8e-04
"nd","1 wk ahead","Bin","percent","6.7","6.8",2e-04
"nd","1 wk ahead","Bin","percent","6.8","6.9",9e-04
"nd","1 wk ahead","Bin","percent","6.9","7.0",1e-04
"nd","1 wk ahead","Bin","percent","7.0","7.1",3e-04
"nd","1 wk ahead","Bin","percent","7.1","7.2",5e-04
"nd","1 wk ahead","Bin","percent","7.2","7.3",4e-04
"nd","1 wk ahead","Bin","percent","7.3","7.4",2e-04
"nd","1 wk ahead","Bin","percent","7.4","7.5",7e-04
"nd","1 wk ahead","Bin","percent","7.5","7.6",3e-04
"nd","1 wk ahead","Bin","percent","7.6","7.7",5e-04
"nd","1 wk ahead","Bin","percent","7.7","7.8",7e-04
"nd","1 wk ahead","Bin","percent","7.8","7.9",4e-04
"nd","1 wk ahead","Bin","percent","7.9","8.0",0
"nd","1 wk ahead","Bin","percent","8.0","8.1",2e-04
"nd","1 wk ahead","Bin","percent","8.1","8.2",4e-04
"nd","1 wk ahead","Bin","percent","8.2","8.3",3e-04
"nd","1 wk ahead","Bin","percent","8.3","8.4",3e-04
"nd","1 wk ahead","Bin","percent","8.4","8.5",1e-04
"nd","1 wk ahead","Bin","percent","8.5","8.6",3e-04
"nd","1 wk ahead","Bin","percent","8.6","8.7",3e-04
"nd","1 wk ahead","Bin","percent","8.7","8.8",5e-04
"nd","1 wk ahead","Bin","percent","8.8","8.9",2e-04
"nd","1 wk ahead","Bin","percent","8.9","9.0",2e-04
"nd","1 wk ahead","Bin","percent","9.0","9.1",4e-04
"nd","1 wk ahead","Bin","percent","9.1","9.2",0
"nd","1 wk ahead","Bin","percent","9.2","9.3",1e-04
"nd","1 wk ahead","Bin","percent","9.3","9.4",2e-04
"nd","1 wk ahead","Bin","percent","9.4","9.5",0
"nd","1 wk ahead","Bin","percent","9.5","9.6",3e-04
"nd","1 wk ahead","Bin","percent","9.6","9.7",3e-04
"nd","1 wk ahead","Bin","percent","9.7","9.8",4e-04
"nd","1 wk ahead","Bin","percent","9.8","9.9",3e-04
"nd","1 wk ahead","Bin","percent","9.9","10.0",2e-04
"nd","1 wk ahead","Bin","percent","10.0","10.1",2e-04
"nd","1 wk ahead","Bin","percent","10.1","10.2",3e-04
"nd","1 wk ahead","Bin","percent","10.2","10.3",2e-04
"nd","1 wk ahead","Bin","percent","10.3","10.4",2e-04
"nd","1 wk ahead","Bin","percent","10.4","10.5",0
"nd","1 wk ahead","Bin","percent","10.5","10.6",1e-04
"nd","1 wk ahead","Bin","percent","10.6","10.7",2e-04
"nd","1 wk ahead","Bin","percent","10.7","10.8",1e-04
"nd","1 wk ahead","Bin","percent","10.8","10.9",1e-04
"nd","1 wk ahead","Bin","percent","10.9","11.0",2e-04
"nd","1 wk ahead","Bin","percent","11.0","11.1",1e-04
"nd","1 wk ahead","Bin","percent","11.1","11.2",1e-04
"nd","1 wk ahead","Bin","percent","11.2","11.3",0
"nd","1 wk ahead","Bin","percent","11.3","11.4",1e-04
"nd","1 wk ahead","Bin","percent","11.4","11.5",0
"nd","1 wk ahead","Bin","percent","11.5","11.6",1e-04
"nd","1 wk ahead","Bin","percent","11.6","11.7",2e-04
"nd","1 wk ahead","Bin","percent","11.7","11.8",1e-04
"nd","1 wk ahead","Bin","percent","11.8","11.9",0
"nd","1 wk ahead","Bin","percent","11.9","12.0",3e-04
"nd","1 wk ahead","Bin","percent","12.0","12.1",1e-04
"nd","1 wk ahead","Bin","percent","12.1","12.2",1e-04
"nd","1 wk ahead","Bin","percent","12.2","12.3",0
"nd","1 wk ahead","Bin","percent","12.3","12.4",0
"nd","1 wk ahead","Bin","percent","12.4","12.5",0
"nd","1 wk ahead","Bin","percent","12.5","12.6",0
"nd","1 wk ahead","Bin","percent","12.6","12.7",0
"nd","1 wk ahead","Bin","percent","12.7","12.8",0
"nd","1 wk ahead","Bin","percent","12.8","12.9",0
"nd","1 wk ahead","Bin","percent","12.9","13.0",1e-04
"nd","1 wk ahead","Bin","percent","13.0","100.0",0.002
"nd","2 wk ahead","Point","percent",NA,NA,1.1
"nd","2 wk ahead","Bin","percent","0.0","0.1",0.0037
"nd","2 wk ahead","Bin","percent","0.1","0.2",0.013
"nd","2 wk ahead","Bin","percent","0.2","0.3",0.0239
"nd","2 wk ahead","Bin","percent","0.3","0.4",0.0364
"nd","2 wk ahead","Bin","percent","0.4","0.5",0.0449
