"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"nv","1 wk ahead","Point","percent",NA,NA,2.4
"nv","1 wk ahead","Bin","percent","0.0","0.1",0
"nv","1 wk ahead","Bin","percent","0.1","0.2",0
"nv","1 wk ahead","Bin","percent","0.2","0.3",0
"nv","1 wk ahead","Bin","percent","0.3","0.4",0
"nv","1 wk ahead","Bin","percent","0.4","0.5",0
"nv","1 wk ahead","Bin","percent","0.5","0.6",0
"nv","1 wk ahead","Bin","percent","0.6","0.7",0
"nv","1 wk ahead","Bin","percent","0.7","0.8",0
"nv","1 wk ahead","Bin","percent","0.8","0.9",0
"nv","1 wk ahead","Bin","percent","0.9","1.0",1e-04
"nv","1 wk ahead","Bin","percent","1.0","1.1",0.0011
"nv","1 wk ahead","Bin","percent","1.1","1.2",0.0042
"nv","1 wk ahead","Bin","percent","1.2","1.3",0.0088
"nv","1 wk ahead","Bin","percent","1.3","1.4",0.0144
"nv","1 wk ahead","Bin","percent","1.4","1.5",0.0203
"nv","1 wk ahead","Bin","percent","1.5","1.6",0.0252
"nv","1 wk ahead","Bin","percent","1.6","1.7",0.0351
"nv","1 wk ahead","Bin","percent","1.7","1.8",0.0435
"nv","1 wk ahead","Bin","percent","1.8","1.9",0.0508
"nv","1 wk ahead","Bin","percent","1.9","2.0",0.0542
"nv","1 wk ahead","Bin","percent","2.0","2.1",0.0531
"nv","1 wk ahead","Bin","percent","2.1","2.2",0.0558
"nv","1 wk ahead","Bin","percent","2.2","2.3",0.0554
"nv","1 wk ahead","Bin","percent","2.3","2.4",0.0535
"nv","1 wk ahead","Bin","percent","2.4","2.5",0.0505
"nv","1 wk ahead","Bin","percent","2.5","2.6",0.0499
"nv","1 wk ahead","Bin","percent","2.6","2.7",0.0445
"nv","1 wk ahead","Bin","percent","2.7","2.8",0.0391
"nv","1 wk ahead","Bin","percent","2.8","2.9",0.0422
"nv","1 wk ahead","Bin","percent","2.9","3.0",0.0342
"nv","1 wk ahead","Bin","percent","3.0","3.1",0.0333
"nv","1 wk ahead","Bin","percent","3.1","3.2",0.026
"nv","1 wk ahead","Bin","percent","3.2","3.3",0.0247
"nv","1 wk ahead","Bin","percent","3.3","3.4",0.0214
"nv","1 wk ahead","Bin","percent","3.4","3.5",0.0183
"nv","1 wk ahead","Bin","percent","3.5","3.6",0.0185
"nv","1 wk ahead","Bin","percent","3.6","3.7",0.0143
"nv","1 wk ahead","Bin","percent","3.7","3.8",0.0115
"nv","1 wk ahead","Bin","percent","3.8","3.9",0.0129
"nv","1 wk ahead","Bin","percent","3.9","4.0",0.009
"nv","1 wk ahead","Bin","percent","4.0","4.1",0.0086
"nv","1 wk ahead","Bin","percent","4.1","4.2",0.0075
"nv","1 wk ahead","Bin","percent","4.2","4.3",0.0074
"nv","1 wk ahead","Bin","percent","4.3","4.4",0.0063
"nv","1 wk ahead","Bin","percent","4.4","4.5",0.0055
"nv","1 wk ahead","Bin","percent","4.5","4.6",0.0029
"nv","1 wk ahead","Bin","percent","4.6","4.7",0.0046
"nv","1 wk ahead","Bin","percent","4.7","4.8",0.0029
"nv","1 wk ahead","Bin","percent","4.8","4.9",0.0028
"nv","1 wk ahead","Bin","percent","4.9","5.0",0.0025
"nv","1 wk ahead","Bin","percent","5.0","5.1",0.0022
"nv","1 wk ahead","Bin","percent","5.1","5.2",0.0014
"nv","1 wk ahead","Bin","percent","5.2","5.3",0.0018
"nv","1 wk ahead","Bin","percent","5.3","5.4",0.0012
"nv","1 wk ahead","Bin","percent","5.4","5.5",0.0015
"nv","1 wk ahead","Bin","percent","5.5","5.6",0.0012
"nv","1 wk ahead","Bin","percent","5.6","5.7",8e-04
"nv","1 wk ahead","Bin","percent","5.7","5.8",0.0012
"nv","1 wk ahead","Bin","percent","5.8","5.9",0.0015
"nv","1 wk ahead","Bin","percent","5.9","6.0",6e-04
"nv","1 wk ahead","Bin","percent","6.0","6.1",0.001
"nv","1 wk ahead","Bin","percent","6.1","6.2",6e-04
"nv","1 wk ahead","Bin","percent","6.2","6.3",0.001
"nv","1 wk ahead","Bin","percent","6.3","6.4",5e-04
"nv","1 wk ahead","Bin","percent","6.4","6.5",5e-04
"nv","1 wk ahead","Bin","percent","6.5","6.6",0.001
"nv","1 wk ahead","Bin","percent","6.6","6.7",8e-04
"nv","1 wk ahead","Bin","percent","6.7","6.8",4e-04
"nv","1 wk ahead","Bin","percent","6.8","6.9",5e-04
"nv","1 wk ahead","Bin","percent","6.9","7.0",4e-04
"nv","1 wk ahead","Bin","percent","7.0","7.1",2e-04
"nv","1 wk ahead","Bin","percent","7.1","7.2",3e-04
"nv","1 wk ahead","Bin","percent","7.2","7.3",5e-04
"nv","1 wk ahead","Bin","percent","7.3","7.4",0
"nv","1 wk ahead","Bin","percent","7.4","7.5",1e-04
"nv","1 wk ahead","Bin","percent","7.5","7.6",1e-04
"nv","1 wk ahead","Bin","percent","7.6","7.7",0
"nv","1 wk ahead","Bin","percent","7.7","7.8",1e-04
"nv","1 wk ahead","Bin","percent","7.8","7.9",3e-04
"nv","1 wk ahead","Bin","percent","7.9","8.0",0
"nv","1 wk ahead","Bin","percent","8.0","8.1",1e-04
"nv","1 wk ahead","Bin","percent","8.1","8.2",1e-04
"nv","1 wk ahead","Bin","percent","8.2","8.3",1e-04
"nv","1 wk ahead","Bin","percent","8.3","8.4",2e-04
"nv","1 wk ahead","Bin","percent","8.4","8.5",0
"nv","1 wk ahead","Bin","percent","8.5","8.6",1e-04
"nv","1 wk ahead","Bin","percent","8.6","8.7",0
"nv","1 wk ahead","Bin","percent","8.7","8.8",1e-04
"nv","1 wk ahead","Bin","percent","8.8","8.9",0
"nv","1 wk ahead","Bin","percent","8.9","9.0",1e-04
"nv","1 wk ahead","Bin","percent","9.0","9.1",0
"nv","1 wk ahead","Bin","percent","9.1","9.2",0
"nv","1 wk ahead","Bin","percent","9.2","9.3",0
"nv","1 wk ahead","Bin","percent","9.3","9.4",1e-04
"nv","1 wk ahead","Bin","percent","9.4","9.5",0
"nv","1 wk ahead","Bin","percent","9.5","9.6",0
"nv","1 wk ahead","Bin","percent","9.6","9.7",0
"nv","1 wk ahead","Bin","percent","9.7","9.8",1e-04
"nv","1 wk ahead","Bin","percent","9.8","9.9",1e-04
"nv","1 wk ahead","Bin","percent","9.9","10.0",0
"nv","1 wk ahead","Bin","percent","10.0","10.1",0
"nv","1 wk ahead","Bin","percent","10.1","10.2",0
"nv","1 wk ahead","Bin","percent","10.2","10.3",0
"nv","1 wk ahead","Bin","percent","10.3","10.4",0
"nv","1 wk ahead","Bin","percent","10.4","10.5",0
"nv","1 wk ahead","Bin","percent","10.5","10.6",0
"nv","1 wk ahead","Bin","percent","10.6","10.7",0
"nv","1 wk ahead","Bin","percent","10.7","10.8",0
"nv","1 wk ahead","Bin","percent","10.8","10.9",1e-04
"nv","1 wk ahead","Bin","percent","10.9","11.0",0
"nv","1 wk ahead","Bin","percent","11.0","11.1",1e-04
"nv","1 wk ahead","Bin","percent","11.1","11.2",0
"nv","1 wk ahead","Bin","percent","11.2","11.3",0
"nv","1 wk ahead","Bin","percent","11.3","11.4",0
"nv","1 wk ahead","Bin","percent","11.4","11.5",1e-04
"nv","1 wk ahead","Bin","percent","11.5","11.6",0
"nv","1 wk ahead","Bin","percent","11.6","11.7",1e-04
"nv","1 wk ahead","Bin","percent","11.7","11.8",0
"nv","1 wk ahead","Bin","percent","11.8","11.9",0
"nv","1 wk ahead","Bin","percent","11.9","12.0",0
"nv","1 wk ahead","Bin","percent","12.0","12.1",0
"nv","1 wk ahead","Bin","percent","12.1","12.2",0
"nv","1 wk ahead","Bin","percent","12.2","12.3",0
"nv","1 wk ahead","Bin","percent","12.3","12.4",0
"nv","1 wk ahead","Bin","percent","12.4","12.5",0
"nv","1 wk ahead","Bin","percent","12.5","12.6",0
"nv","1 wk ahead","Bin","percent","12.6","12.7",0
"nv","1 wk ahead","Bin","percent","12.7","12.8",0
"nv","1 wk ahead","Bin","percent","12.8","12.9",0
"nv","1 wk ahead","Bin","percent","12.9","13.0",0
"nv","1 wk ahead","Bin","percent","13.0","100.0",0
"nv","2 wk ahead","Point","percent",NA,NA,2.2
"nv","2 wk ahead","Bin","percent","0.0","0.1",0
"nv","2 wk ahead","Bin","percent","0.1","0.2",0
"nv","2 wk ahead","Bin","percent","0.2","0.3",0
"nv","2 wk ahead","Bin","percent","0.3","0.4",0
"nv","2 wk ahead","Bin","percent","0.4","0.5",0
"nv","2 wk ahead","Bin","percent","0.5","0.6",0
"nv","2 wk ahead","Bin","percent","0.6","0.7",0
"nv","2 wk ahead","Bin","percent","0.7","0.8",5e-04
"nv","2 wk ahead","Bin","percent","0.8","0.9",0.0019
"nv","2 wk ahead","Bin","percent","0.9","1.0",0.0039
"nv","2 wk ahead","Bin","percent","1.0","1.1",0.0097
"nv","2 wk ahead","Bin","percent","1.1","1.2",0.0165
"nv","2 wk ahead","Bin","percent","1.2","1.3",0.0244
"nv","2 wk ahead","Bin","percent","1.3","1.4",0.0291
"nv","2 wk ahead","Bin","percent","1.4","1.5",0.0371
"nv","2 wk ahead","Bin","percent","1.5","1.6",0.0402
"nv","2 wk ahead","Bin","percent","1.6","1.7",0.0495
"nv","2 wk ahead","Bin","percent","1.7","1.8",0.0459
"nv","2 wk ahead","Bin","percent","1.8","1.9",0.0508
"nv","2 wk ahead","Bin","percent","1.9","2.0",0.0528
"nv","2 wk ahead","Bin","percent","2.0","2.1",0.054
"nv","2 wk ahead","Bin","percent","2.1","2.2",0.0473
"nv","2 wk ahead","Bin","percent","2.2","2.3",0.0464
"nv","2 wk ahead","Bin","percent","2.3","2.4",0.0443
"nv","2 wk ahead","Bin","percent","2.4","2.5",0.0408
"nv","2 wk ahead","Bin","percent","2.5","2.6",0.0383
"nv","2 wk ahead","Bin","percent","2.6","2.7",0.0344
"nv","2 wk ahead","Bin","percent","2.7","2.8",0.0322
"nv","2 wk ahead","Bin","percent","2.8","2.9",0.0286
"nv","2 wk ahead","Bin","percent","2.9","3.0",0.0264
"nv","2 wk ahead","Bin","percent","3.0","3.1",0.0236
"nv","2 wk ahead","Bin","percent","3.1","3.2",0.0181
"nv","2 wk ahead","Bin","percent","3.2","3.3",0.0178
"nv","2 wk ahead","Bin","percent","3.3","3.4",0.0164
"nv","2 wk ahead","Bin","percent","3.4","3.5",0.014
"nv","2 wk ahead","Bin","percent","3.5","3.6",0.0142
"nv","2 wk ahead","Bin","percent","3.6","3.7",0.0123
"nv","2 wk ahead","Bin","percent","3.7","3.8",0.0116
"nv","2 wk ahead","Bin","percent","3.8","3.9",0.0104
"nv","2 wk ahead","Bin","percent","3.9","4.0",0.01
"nv","2 wk ahead","Bin","percent","4.0","4.1",0.0097
"nv","2 wk ahead","Bin","percent","4.1","4.2",0.008
"nv","2 wk ahead","Bin","percent","4.2","4.3",0.0072
"nv","2 wk ahead","Bin","percent","4.3","4.4",0.0063
"nv","2 wk ahead","Bin","percent","4.4","4.5",0.0053
"nv","2 wk ahead","Bin","percent","4.5","4.6",0.0044
"nv","2 wk ahead","Bin","percent","4.6","4.7",0.0052
"nv","2 wk ahead","Bin","percent","4.7","4.8",0.0036
"nv","2 wk ahead","Bin","percent","4.8","4.9",0.0029
"nv","2 wk ahead","Bin","percent","4.9","5.0",0.0036
"nv","2 wk ahead","Bin","percent","5.0","5.1",0.0022
"nv","2 wk ahead","Bin","percent","5.1","5.2",0.003
"nv","2 wk ahead","Bin","percent","5.2","5.3",0.0035
"nv","2 wk ahead","Bin","percent","5.3","5.4",0.0024
"nv","2 wk ahead","Bin","percent","5.4","5.5",0.0016
"nv","2 wk ahead","Bin","percent","5.5","5.6",0.0016
"nv","2 wk ahead","Bin","percent","5.6","5.7",0.0022
"nv","2 wk ahead","Bin","percent","5.7","5.8",0.0013
"nv","2 wk ahead","Bin","percent","5.8","5.9",0.0015
"nv","2 wk ahead","Bin","percent","5.9","6.0",0.0015
"nv","2 wk ahead","Bin","percent","6.0","6.1",5e-04
"nv","2 wk ahead","Bin","percent","6.1","6.2",0.0016
"nv","2 wk ahead","Bin","percent","6.2","6.3",8e-04
"nv","2 wk ahead","Bin","percent","6.3","6.4",7e-04
"nv","2 wk ahead","Bin","percent","6.4","6.5",4e-04
"nv","2 wk ahead","Bin","percent","6.5","6.6",8e-04
"nv","2 wk ahead","Bin","percent","6.6","6.7",4e-04
"nv","2 wk ahead","Bin","percent","6.7","6.8",4e-04
"nv","2 wk ahead","Bin","percent","6.8","6.9",7e-04
"nv","2 wk ahead","Bin","percent","6.9","7.0",6e-04
"nv","2 wk ahead","Bin","percent","7.0","7.1",9e-04
"nv","2 wk ahead","Bin","percent","7.1","7.2",0.0011
"nv","2 wk ahead","Bin","percent","7.2","7.3",2e-04
"nv","2 wk ahead","Bin","percent","7.3","7.4",4e-04
"nv","2 wk ahead","Bin","percent","7.4","7.5",8e-04
"nv","2 wk ahead","Bin","percent","7.5","7.6",4e-04
"nv","2 wk ahead","Bin","percent","7.6","7.7",2e-04
"nv","2 wk ahead","Bin","percent","7.7","7.8",0.001
"nv","2 wk ahead","Bin","percent","7.8","7.9",3e-04
"nv","2 wk ahead","Bin","percent","7.9","8.0",2e-04
"nv","2 wk ahead","Bin","percent","8.0","8.1",5e-04
"nv","2 wk ahead","Bin","percent","8.1","8.2",8e-04
"nv","2 wk ahead","Bin","percent","8.2","8.3",2e-04
"nv","2 wk ahead","Bin","percent","8.3","8.4",0
"nv","2 wk ahead","Bin","percent","8.4","8.5",1e-04
"nv","2 wk ahead","Bin","percent","8.5","8.6",2e-04
"nv","2 wk ahead","Bin","percent","8.6","8.7",2e-04
"nv","2 wk ahead","Bin","percent","8.7","8.8",2e-04
"nv","2 wk ahead","Bin","percent","8.8","8.9",2e-04
"nv","2 wk ahead","Bin","percent","8.9","9.0",2e-04
"nv","2 wk ahead","Bin","percent","9.0","9.1",2e-04
"nv","2 wk ahead","Bin","percent","9.1","9.2",0
"nv","2 wk ahead","Bin","percent","9.2","9.3",2e-04
"nv","2 wk ahead","Bin","percent","9.3","9.4",4e-04
"nv","2 wk ahead","Bin","percent","9.4","9.5",0
"nv","2 wk ahead","Bin","percent","9.5","9.6",3e-04
"nv","2 wk ahead","Bin","percent","9.6","9.7",2e-04
"nv","2 wk ahead","Bin","percent","9.7","9.8",0
"nv","2 wk ahead","Bin","percent","9.8","9.9",0
"nv","2 wk ahead","Bin","percent","9.9","10.0",2e-04
"nv","2 wk ahead","Bin","percent","10.0","10.1",2e-04
"nv","2 wk ahead","Bin","percent","10.1","10.2",2e-04
"nv","2 wk ahead","Bin","percent","10.2","10.3",0
"nv","2 wk ahead","Bin","percent","10.3","10.4",0
"nv","2 wk ahead","Bin","percent","10.4","10.5",1e-04
"nv","2 wk ahead","Bin","percent","10.5","10.6",2e-04
"nv","2 wk ahead","Bin","percent","10.6","10.7",0
"nv","2 wk ahead","Bin","percent","10.7","10.8",2e-04
"nv","2 wk ahead","Bin","percent","10.8","10.9",1e-04
"nv","2 wk ahead","Bin","percent","10.9","11.0",0
"nv","2 wk ahead","Bin","percent","11.0","11.1",0
"nv","2 wk ahead","Bin","percent","11.1","11.2",0
"nv","2 wk ahead","Bin","percent","11.2","11.3",1e-04
"nv","2 wk ahead","Bin","percent","11.3","11.4",0
"nv","2 wk ahead","Bin","percent","11.4","11.5",0
"nv","2 wk ahead","Bin","percent","11.5","11.6",0
"nv","2 wk ahead","Bin","percent","11.6","11.7",1e-04
"nv","2 wk ahead","Bin","percent","11.7","11.8",0
"nv","2 wk ahead","Bin","percent","11.8","11.9",0
"nv","2 wk ahead","Bin","percent","11.9","12.0",1e-04
"nv","2 wk ahead","Bin","percent","12.0","12.1",1e-04
"nv","2 wk ahead","Bin","percent","12.1","12.2",0
"nv","2 wk ahead","Bin","percent","12.2","12.3",1e-04
"nv","2 wk ahead","Bin","percent","12.3","12.4",2e-04
"nv","2 wk ahead","Bin","percent","12.4","12.5",0
"nv","2 wk ahead","Bin","percent","12.5","12.6",0
"nv","2 wk ahead","Bin","percent","12.6","12.7",0
"nv","2 wk ahead","Bin","percent","12.7","12.8",1e-04
"nv","2 wk ahead","Bin","percent","12.8","12.9",1e-04
"nv","2 wk ahead","Bin","percent","12.9","13.0",0
"nv","2 wk ahead","Bin","percent","13.0","100.0",0.0012
"nv","3 wk ahead","Point","percent",NA,NA,2.1
"nv","3 wk ahead","Bin","percent","0.0","0.1",0
"nv","3 wk ahead","Bin","percent","0.1","0.2",0
"nv","3 wk ahead","Bin","percent","0.2","0.3",0
"nv","3 wk ahead","Bin","percent","0.3","0.4",0
"nv","3 wk ahead","Bin","percent","0.4","0.5",2e-04
"nv","3 wk ahead","Bin","percent","0.5","0.6",2e-04
"nv","3 wk ahead","Bin","percent","0.6","0.7",9e-04
"nv","3 wk ahead","Bin","percent","0.7","0.8",0.003
"nv","3 wk ahead","Bin","percent","0.8","0.9",0.0075
"nv","3 wk ahead","Bin","percent","0.9","1.0",0.014
"nv","3 wk ahead","Bin","percent","1.0","1.1",0.0199
"nv","3 wk ahead","Bin","percent","1.1","1.2",0.0289
"nv","3 wk ahead","Bin","percent","1.2","1.3",0.0315
"nv","3 wk ahead","Bin","percent","1.3","1.4",0.0407
"nv","3 wk ahead","Bin","percent","1.4","1.5",0.0478
"nv","3 wk ahead","Bin","percent","1.5","1.6",0.0496
"nv","3 wk ahead","Bin","percent","1.6","1.7",0.0526
"nv","3 wk ahead","Bin","percent","1.7","1.8",0.0502
"nv","3 wk ahead","Bin","percent","1.8","1.9",0.0461
"nv","3 wk ahead","Bin","percent","1.9","2.0",0.0501
"nv","3 wk ahead","Bin","percent","2.0","2.1",0.0447
"nv","3 wk ahead","Bin","percent","2.1","2.2",0.0441
"nv","3 wk ahead","Bin","percent","2.2","2.3",0.0377
"nv","3 wk ahead","Bin","percent","2.3","2.4",0.0341
"nv","3 wk ahead","Bin","percent","2.4","2.5",0.0336
"nv","3 wk ahead","Bin","percent","2.5","2.6",0.0316
"nv","3 wk ahead","Bin","percent","2.6","2.7",0.0282
"nv","3 wk ahead","Bin","percent","2.7","2.8",0.0284
"nv","3 wk ahead","Bin","percent","2.8","2.9",0.0276
"nv","3 wk ahead","Bin","percent","2.9","3.0",0.019
"nv","3 wk ahead","Bin","percent","3.0","3.1",0.0174
"nv","3 wk ahead","Bin","percent","3.1","3.2",0.0166
"nv","3 wk ahead","Bin","percent","3.2","3.3",0.014
"nv","3 wk ahead","Bin","percent","3.3","3.4",0.0158
"nv","3 wk ahead","Bin","percent","3.4","3.5",0.0132
"nv","3 wk ahead","Bin","percent","3.5","3.6",0.01
"nv","3 wk ahead","Bin","percent","3.6","3.7",0.0124
"nv","3 wk ahead","Bin","percent","3.7","3.8",0.0091
"nv","3 wk ahead","Bin","percent","3.8","3.9",0.0088
"nv","3 wk ahead","Bin","percent","3.9","4.0",0.0097
"nv","3 wk ahead","Bin","percent","4.0","4.1",0.008
"nv","3 wk ahead","Bin","percent","4.1","4.2",0.0072
"nv","3 wk ahead","Bin","percent","4.2","4.3",0.0065
"nv","3 wk ahead","Bin","percent","4.3","4.4",0.005
"nv","3 wk ahead","Bin","percent","4.4","4.5",0.0046
