"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"ok","1 wk ahead","Point","percent",NA,NA,4.9
"ok","1 wk ahead","Bin","percent","0.0","0.1",0
"ok","1 wk ahead","Bin","percent","0.1","0.2",0
"ok","1 wk ahead","Bin","percent","0.2","0.3",0
"ok","1 wk ahead","Bin","percent","0.3","0.4",0
"ok","1 wk ahead","Bin","percent","0.4","0.5",0
"ok","1 wk ahead","Bin","percent","0.5","0.6",0
"ok","1 wk ahead","Bin","percent","0.6","0.7",0
"ok","1 wk ahead","Bin","percent","0.7","0.8",0
"ok","1 wk ahead","Bin","percent","0.8","0.9",0
"ok","1 wk ahead","Bin","percent","0.9","1.0",0
"ok","1 wk ahead","Bin","percent","1.0","1.1",0
"ok","1 wk ahead","Bin","percent","1.1","1.2",0
"ok","1 wk ahead","Bin","percent","1.2","1.3",0
"ok","1 wk ahead","Bin","percent","1.3","1.4",1e-04
"ok","1 wk ahead","Bin","percent","1.4","1.5",6e-04
"ok","1 wk ahead","Bin","percent","1.5","1.6",5e-04
"ok","1 wk ahead","Bin","percent","1.6","1.7",0.0019
"ok","1 wk ahead","Bin","percent","1.7","1.8",0.0019
"ok","1 wk ahead","Bin","percent","1.8","1.9",0.0034
"ok","1 wk ahead","Bin","percent","1.9","2.0",0.0043
"ok","1 wk ahead","Bin","percent","2.0","2.1",0.0048
"ok","1 wk ahead","Bin","percent","2.1","2.2",0.005
"ok","1 wk ahead","Bin","percent","2.2","2.3",0.0072
"ok","1 wk ahead","Bin","percent","2.3","2.4",0.0069
"ok","1 wk ahead","Bin","percent","2.4","2.5",0.0091
"ok","1 wk ahead","Bin","percent","2.5","2.6",0.0097
"ok","1 wk ahead","Bin","percent","2.6","2.7",0.0114
"ok","1 wk ahead","Bin","percent","2.7","2.8",0.0116
"ok","1 wk ahead","Bin","percent","2.8","2.9",0.015
"ok","1 wk ahead","Bin","percent","2.9","3.0",0.0137
"ok","1 wk ahead","Bin","percent","3.0","3.1",0.0163
"ok","1 wk ahead","Bin","percent","3.1","3.2",0.0158
"ok","1 wk ahead","Bin","percent","3.2","3.3",0.0192
"ok","1 wk ahead","Bin","percent","3.3","3.4",0.0204
"ok","1 wk ahead","Bin","percent","3.4","3.5",0.0203
"ok","1 wk ahead","Bin","percent","3.5","3.6",0.0205
"ok","1 wk ahead","Bin","percent","3.6","3.7",0.0219
"ok","1 wk ahead","Bin","percent","3.7","3.8",0.0202
"ok","1 wk ahead","Bin","percent","3.8","3.9",0.0218
"ok","1 wk ahead","Bin","percent","3.9","4.0",0.0212
"ok","1 wk ahead","Bin","percent","4.0","4.1",0.0206
"ok","1 wk ahead","Bin","percent","4.1","4.2",0.0195
"ok","1 wk ahead","Bin","percent","4.2","4.3",0.022
"ok","1 wk ahead","Bin","percent","4.3","4.4",0.022
"ok","1 wk ahead","Bin","percent","4.4","4.5",0.0207
"ok","1 wk ahead","Bin","percent","4.5","4.6",0.0205
"ok","1 wk ahead","Bin","percent","4.6","4.7",0.0205
"ok","1 wk ahead","Bin","percent","4.7","4.8",0.02
"ok","1 wk ahead","Bin","percent","4.8","4.9",0.0215
"ok","1 wk ahead","Bin","percent","4.9","5.0",0.0178
"ok","1 wk ahead","Bin","percent","5.0","5.1",0.0194
"ok","1 wk ahead","Bin","percent","5.1","5.2",0.0188
"ok","1 wk ahead","Bin","percent","5.2","5.3",0.0191
"ok","1 wk ahead","Bin","percent","5.3","5.4",0.0173
"ok","1 wk ahead","Bin","percent","5.4","5.5",0.0178
"ok","1 wk ahead","Bin","percent","5.5","5.6",0.0154
"ok","1 wk ahead","Bin","percent","5.6","5.7",0.0158
"ok","1 wk ahead","Bin","percent","5.7","5.8",0.0161
"ok","1 wk ahead","Bin","percent","5.8","5.9",0.0134
"ok","1 wk ahead","Bin","percent","5.9","6.0",0.0157
"ok","1 wk ahead","Bin","percent","6.0","6.1",0.0157
"ok","1 wk ahead","Bin","percent","6.1","6.2",0.0151
"ok","1 wk ahead","Bin","percent","6.2","6.3",0.0141
"ok","1 wk ahead","Bin","percent","6.3","6.4",0.0109
"ok","1 wk ahead","Bin","percent","6.4","6.5",0.0128
