"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"ak","1 wk ahead","Point","percent",NA,NA,2.7
"ak","1 wk ahead","Bin","percent","0.0","0.1",0
"ak","1 wk ahead","Bin","percent","0.1","0.2",0
"ak","1 wk ahead","Bin","percent","0.2","0.3",0
"ak","1 wk ahead","Bin","percent","0.3","0.4",0
"ak","1 wk ahead","Bin","percent","0.4","0.5",0
"ak","1 wk ahead","Bin","percent","0.5","0.6",0
"ak","1 wk ahead","Bin","percent","0.6","0.7",4e-04
"ak","1 wk ahead","Bin","percent","0.7","0.8",8e-04
"ak","1 wk ahead","Bin","percent","0.8","0.9",8e-04
"ak","1 wk ahead","Bin","percent","0.9","1.0",0.0018
"ak","1 wk ahead","Bin","percent","1.0","1.1",0.0033
"ak","1 wk ahead","Bin","percent","1.1","1.2",0.0063
"ak","1 wk ahead","Bin","percent","1.2","1.3",0.0076
"ak","1 wk ahead","Bin","percent","1.3","1.4",0.0112
"ak","1 wk ahead","Bin","percent","1.4","1.5",0.0144
"ak","1 wk ahead","Bin","percent","1.5","1.6",0.0173
"ak","1 wk ahead","Bin","percent","1.6","1.7",0.0247
"ak","1 wk ahead","Bin","percent","1.7","1.8",0.0298
"ak","1 wk ahead","Bin","percent","1.8","1.9",0.0342
"ak","1 wk ahead","Bin","percent","1.9","2.0",0.0333
"ak","1 wk ahead","Bin","percent","2.0","2.1",0.0376
"ak","1 wk ahead","Bin","percent","2.1","2.2",0.0446
"ak","1 wk ahead","Bin","percent","2.2","2.3",0.0446
"ak","1 wk ahead","Bin","percent","2.3","2.4",0.0478
"ak","1 wk ahead","Bin","percent","2.4","2.5",0.0476
"ak","1 wk ahead","Bin","percent","2.5","2.6",0.0465
"ak","1 wk ahead","Bin","percent","2.6","2.7",0.043
"ak","1 wk ahead","Bin","percent","2.7","2.8",0.043
"ak","1 wk ahead","Bin","percent","2.8","2.9",0.0422
"ak","1 wk ahead","Bin","percent","2.9","3.0",0.0428
"ak","1 wk ahead","Bin","percent","3.0","3.1",0.0435
"ak","1 wk ahead","Bin","percent","3.1","3.2",0.0371
"ak","1 wk ahead","Bin","percent","3.2","3.3",0.034
"ak","1 wk ahead","Bin","percent","3.3","3.4",0.0297
"ak","1 wk ahead","Bin","percent","3.4","3.5",0.0299
"ak","1 wk ahead","Bin","percent","3.5","3.6",0.0249
"ak","1 wk ahead","Bin","percent","3.6","3.7",0.0233
"ak","1 wk ahead","Bin","percent","3.7","3.8",0.0199
"ak","1 wk ahead","Bin","percent","3.8","3.9",0.02
"ak","1 wk ahead","Bin","percent","3.9","4.0",0.0165
"ak","1 wk ahead","Bin","percent","4.0","4.1",0.0131
"ak","1 wk ahead","Bin","percent","4.1","4.2",0.0122
"ak","1 wk ahead","Bin","percent","4.2","4.3",0.0103
"ak","1 wk ahead","Bin","percent","4.3","4.4",0.0089
"ak","1 wk ahead","Bin","percent","4.4","4.5",0.0089
"ak","1 wk ahead","Bin","percent","4.5","4.6",0.007
"ak","1 wk ahead","Bin","percent","4.6","4.7",0.0053
"ak","1 wk ahead","Bin","percent","4.7","4.8",0.0044
"ak","1 wk ahead","Bin","percent","4.8","4.9",0.0041
"ak","1 wk ahead","Bin","percent","4.9","5.0",0.0037
"ak","1 wk ahead","Bin","percent","5.0","5.1",0.0018
"ak","1 wk ahead","Bin","percent","5.1","5.2",0.0026
"ak","1 wk ahead","Bin","percent","5.2","5.3",0.0026
"ak","1 wk ahead","Bin","percent","5.3","5.4",0.0014
"ak","1 wk ahead","Bin","percent","5.4","5.5",0.0018
"ak","1 wk ahead","Bin","percent","5.5","5.6",0.001
"ak","1 wk ahead","Bin","percent","5.6","5.7",0.0011
"ak","1 wk ahead","Bin","percent","5.7","5.8",4e-04
"ak","1 wk ahead","Bin","percent","5.8","5.9",8e-04
"ak","1 wk ahead","Bin","percent","5.9","6.0",0.0011
"ak","1 wk ahead","Bin","percent","6.0","6.1",4e-04
"ak","1 wk ahead","Bin","percent","6.1","6.2",6e-04
"ak","1 wk ahead","Bin","percent","6.2","6.3",5e-04
"ak","1 wk ahead","Bin","percent","6.3","6.4",4e-04
"ak","1 wk ahead","Bin","percent","6.4","6.5",3e-04
"ak","1 wk ahead","Bin","percent","6.5","6.6",0
"ak","1 wk ahead","Bin","percent","6.6","6.7",2e-04
"ak","1 wk ahead","Bin","percent","6.7","6.8",2e-04
"ak","1 wk ahead","Bin","percent","6.8","6.9",0
"ak","1 wk ahead","Bin","percent","6.9","7.0",0
"ak","1 wk ahead","Bin","percent","7.0","7.1",1e-04
"ak","1 wk ahead","Bin","percent","7.1","7.2",1e-04
"ak","1 wk ahead","Bin","percent","7.2","7.3",1e-04
"ak","1 wk ahead","Bin","percent","7.3","7.4",0
"ak","1 wk ahead","Bin","percent","7.4","7.5",0
"ak","1 wk ahead","Bin","percent","7.5","7.6",0
"ak","1 wk ahead","Bin","percent","7.6","7.7",1e-04
"ak","1 wk ahead","Bin","percent","7.7","7.8",1e-04
"ak","1 wk ahead","Bin","percent","7.8","7.9",0
"ak","1 wk ahead","Bin","percent","7.9","8.0",0
"ak","1 wk ahead","Bin","percent","8.0","8.1",0
"ak","1 wk ahead","Bin","percent","8.1","8.2",0
"ak","1 wk ahead","Bin","percent","8.2","8.3",0
"ak","1 wk ahead","Bin","percent","8.3","8.4",0
"ak","1 wk ahead","Bin","percent","8.4","8.5",0
"ak","1 wk ahead","Bin","percent","8.5","8.6",0
"ak","1 wk ahead","Bin","percent","8.6","8.7",0
"ak","1 wk ahead","Bin","percent","8.7","8.8",0
"ak","1 wk ahead","Bin","percent","8.8","8.9",0
"ak","1 wk ahead","Bin","percent","8.9","9.0",0
"ak","1 wk ahead","Bin","percent","9.0","9.1",0
"ak","1 wk ahead","Bin","percent","9.1","9.2",0
"ak","1 wk ahead","Bin","percent","9.2","9.3",0
"ak","1 wk ahead","Bin","percent","9.3","9.4",0
"ak","1 wk ahead","Bin","percent","9.4","9.5",0
"ak","1 wk ahead","Bin","percent","9.5","9.6",0
"ak","1 wk ahead","Bin","percent","9.6","9.7",0
"ak","1 wk ahead","Bin","percent","9.7","9.8",0
"ak","1 wk ahead","Bin","percent","9.8","9.9",0
"ak","1 wk ahead","Bin","percent","9.9","10.0",0
"ak","1 wk ahead","Bin","percent","10.0","10.1",0
"ak","1 wk ahead","Bin","percent","10.1","10.2",0
"ak","1 wk ahead","Bin","percent","10.2","10.3",0
"ak","1 wk ahead","Bin","percent","10.3","10.4",0
"ak","1 wk ahead","Bin","percent","10.4","10.5",0
"ak","1 wk ahead","Bin","percent","10.5","10.6",0
"ak","1 wk ahead","Bin","percent","10.6","10.7",0
"ak","1 wk ahead","Bin","percent","10.7","10.8",0
"ak","1 wk ahead","Bin","percent","10.8","10.9",0
"ak","1 wk ahead","Bin","percent","10.9","11.0",0
"ak","1 wk ahead","Bin","percent","11.0","11.1",0
"ak","1 wk ahead","Bin","percent","11.1","11.2",0
"ak","1 wk ahead","Bin","percent","11.2","11.3",0
"ak","1 wk ahead","Bin","percent","11.3","11.4",0
"ak","1 wk ahead","Bin","percent","11.4","11.5",0
"ak","1 wk ahead","Bin","percent","11.5","11.6",0
"ak","1 wk ahead","Bin","percent","11.6","11.7",0
"ak","1 wk ahead","Bin","percent","11.7","11.8",0
"ak","1 wk ahead","Bin","percent","11.8","11.9",0
"ak","1 wk ahead","Bin","percent","11.9","12.0",0
"ak","1 wk ahead","Bin","percent","12.0","12.1",0
"ak","1 wk ahead","Bin","percent","12.1","12.2",0
"ak","1 wk ahead","Bin","percent","12.2","12.3",0
"ak","1 wk ahead","Bin","percent","12.3","12.4",0
"ak","1 wk ahead","Bin","percent","12.4","12.5",0
"ak","1 wk ahead","Bin","percent","12.5","12.6",0
"ak","1 wk ahead","Bin","percent","12.6","12.7",0
"ak","1 wk ahead","Bin","percent","12.7","12.8",0
"ak","1 wk ahead","Bin","percent","12.8","12.9",0
"ak","1 wk ahead","Bin","percent","12.9","13.0",0
"ak","1 wk ahead","Bin","percent","13.0","100.0",0
"ak","2 wk ahead","Point","percent",NA,NA,2.6
"ak","2 wk ahead","Bin","percent","0.0","0.1",0
"ak","2 wk ahead","Bin","percent","0.1","0.2",0
"ak","2 wk ahead","Bin","percent","0.2","0.3",1e-04
"ak","2 wk ahead","Bin","percent","0.3","0.4",0
"ak","2 wk ahead","Bin","percent","0.4","0.5",1e-04
"ak","2 wk ahead","Bin","percent","0.5","0.6",2e-04
"ak","2 wk ahead","Bin","percent","0.6","0.7",0.0017
"ak","2 wk ahead","Bin","percent","0.7","0.8",0.0021
"ak","2 wk ahead","Bin","percent","0.8","0.9",0.0038
"ak","2 wk ahead","Bin","percent","0.9","1.0",0.0039
"ak","2 wk ahead","Bin","percent","1.0","1.1",0.0085
"ak","2 wk ahead","Bin","percent","1.1","1.2",0.0113
"ak","2 wk ahead","Bin","percent","1.2","1.3",0.0139
"ak","2 wk ahead","Bin","percent","1.3","1.4",0.0146
"ak","2 wk ahead","Bin","percent","1.4","1.5",0.0215
"ak","2 wk ahead","Bin","percent","1.5","1.6",0.023
"ak","2 wk ahead","Bin","percent","1.6","1.7",0.0256
"ak","2 wk ahead","Bin","percent","1.7","1.8",0.0309
"ak","2 wk ahead","Bin","percent","1.8","1.9",0.0321
"ak","2 wk ahead","Bin","percent","1.9","2.0",0.034
"ak","2 wk ahead","Bin","percent","2.0","2.1",0.0393
"ak","2 wk ahead","Bin","percent","2.1","2.2",0.0379
"ak","2 wk ahead","Bin","percent","2.2","2.3",0.04
"ak","2 wk ahead","Bin","percent","2.3","2.4",0.0413
"ak","2 wk ahead","Bin","percent","2.4","2.5",0.0412
"ak","2 wk ahead","Bin","percent","2.5","2.6",0.0396
"ak","2 wk ahead","Bin","percent","2.6","2.7",0.0411
"ak","2 wk ahead","Bin","percent","2.7","2.8",0.0377
"ak","2 wk ahead","Bin","percent","2.8","2.9",0.0425
"ak","2 wk ahead","Bin","percent","2.9","3.0",0.0335
"ak","2 wk ahead","Bin","percent","3.0","3.1",0.0354
"ak","2 wk ahead","Bin","percent","3.1","3.2",0.0325
"ak","2 wk ahead","Bin","percent","3.2","3.3",0.0285
"ak","2 wk ahead","Bin","percent","3.3","3.4",0.0273
"ak","2 wk ahead","Bin","percent","3.4","3.5",0.0225
"ak","2 wk ahead","Bin","percent","3.5","3.6",0.0242
"ak","2 wk ahead","Bin","percent","3.6","3.7",0.0202
"ak","2 wk ahead","Bin","percent","3.7","3.8",0.02
"ak","2 wk ahead","Bin","percent","3.8","3.9",0.0182
"ak","2 wk ahead","Bin","percent","3.9","4.0",0.0168
"ak","2 wk ahead","Bin","percent","4.0","4.1",0.0165
"ak","2 wk ahead","Bin","percent","4.1","4.2",0.0144
"ak","2 wk ahead","Bin","percent","4.2","4.3",0.0097
"ak","2 wk ahead","Bin","percent","4.3","4.4",0.0112
"ak","2 wk ahead","Bin","percent","4.4","4.5",0.0098
"ak","2 wk ahead","Bin","percent","4.5","4.6",0.0094
"ak","2 wk ahead","Bin","percent","4.6","4.7",0.0076
"ak","2 wk ahead","Bin","percent","4.7","4.8",0.0069
"ak","2 wk ahead","Bin","percent","4.8","4.9",0.006
"ak","2 wk ahead","Bin","percent","4.9","5.0",0.0058
"ak","2 wk ahead","Bin","percent","5.0","5.1",0.004
"ak","2 wk ahead","Bin","percent","5.1","5.2",0.0032
"ak","2 wk ahead","Bin","percent","5.2","5.3",0.0039
"ak","2 wk ahead","Bin","percent","5.3","5.4",0.0026
"ak","2 wk ahead","Bin","percent","5.4","5.5",0.0033
"ak","2 wk ahead","Bin","percent","5.5","5.6",0.0022
"ak","2 wk ahead","Bin","percent","5.6","5.7",0.0025
"ak","2 wk ahead","Bin","percent","5.7","5.8",0.0022
"ak","2 wk ahead","Bin","percent","5.8","5.9",0.002
"ak","2 wk ahead","Bin","percent","5.9","6.0",0.0017
"ak","2 wk ahead","Bin","percent","6.0","6.1",6e-04
"ak","2 wk ahead","Bin","percent","6.1","6.2",0.0012
"ak","2 wk ahead","Bin","percent","6.2","6.3",0.0013
"ak","2 wk ahead","Bin","percent","6.3","6.4",3e-04
"ak","2 wk ahead","Bin","percent","6.4","6.5",8e-04
"ak","2 wk ahead","Bin","percent","6.5","6.6",4e-04
"ak","2 wk ahead","Bin","percent","6.6","6.7",5e-04
"ak","2 wk ahead","Bin","percent","6.7","6.8",3e-04
"ak","2 wk ahead","Bin","percent","6.8","6.9",4e-04
"ak","2 wk ahead","Bin","percent","6.9","7.0",1e-04
"ak","2 wk ahead","Bin","percent","7.0","7.1",4e-04
"ak","2 wk ahead","Bin","percent","7.1","7.2",5e-04
"ak","2 wk ahead","Bin","percent","7.2","7.3",2e-04
"ak","2 wk ahead","Bin","percent","7.3","7.4",0
"ak","2 wk ahead","Bin","percent","7.4","7.5",0
"ak","2 wk ahead","Bin","percent","7.5","7.6",0
"ak","2 wk ahead","Bin","percent","7.6","7.7",1e-04
"ak","2 wk ahead","Bin","percent","7.7","7.8",2e-04
"ak","2 wk ahead","Bin","percent","7.8","7.9",3e-04
"ak","2 wk ahead","Bin","percent","7.9","8.0",1e-04
"ak","2 wk ahead","Bin","percent","8.0","8.1",0
"ak","2 wk ahead","Bin","percent","8.1","8.2",1e-04
"ak","2 wk ahead","Bin","percent","8.2","8.3",2e-04
"ak","2 wk ahead","Bin","percent","8.3","8.4",0
"ak","2 wk ahead","Bin","percent","8.4","8.5",0
"ak","2 wk ahead","Bin","percent","8.5","8.6",0
"ak","2 wk ahead","Bin","percent","8.6","8.7",0
"ak","2 wk ahead","Bin","percent","8.7","8.8",0
"ak","2 wk ahead","Bin","percent","8.8","8.9",0
"ak","2 wk ahead","Bin","percent","8.9","9.0",0
"ak","2 wk ahead","Bin","percent","9.0","9.1",0
"ak","2 wk ahead","Bin","percent","9.1","9.2",0
"ak","2 wk ahead","Bin","percent","9.2","9.3",0
"ak","2 wk ahead","Bin","percent","9.3","9.4",0
"ak","2 wk ahead","Bin","percent","9.4","9.5",0
"ak","2 wk ahead","Bin","percent","9.5","9.6",0
"ak","2 wk ahead","Bin","percent","9.6","9.7",0
"ak","2 wk ahead","Bin","percent","9.7","9.8",0
"ak","2 wk ahead","Bin","percent","9.8","9.9",0
"ak","2 wk ahead","Bin","percent","9.9","10.0",0
"ak","2 wk ahead","Bin","percent","10.0","10.1",0
"ak","2 wk ahead","Bin","percent","10.1","10.2",0
"ak","2 wk ahead","Bin","percent","10.2","10.3",0
"ak","2 wk ahead","Bin","percent","10.3","10.4",0
"ak","2 wk ahead","Bin","percent","10.4","10.5",0
"ak","2 wk ahead","Bin","percent","10.5","10.6",0
"ak","2 wk ahead","Bin","percent","10.6","10.7",1e-04
"ak","2 wk ahead","Bin","percent","10.7","10.8",0
"ak","2 wk ahead","Bin","percent","10.8","10.9",0
"ak","2 wk ahead","Bin","percent","10.9","11.0",0
"ak","2 wk ahead","Bin","percent","11.0","11.1",0
"ak","2 wk ahead","Bin","percent","11.1","11.2",0
"ak","2 wk ahead","Bin","percent","11.2","11.3",0
"ak","2 wk ahead","Bin","percent","11.3","11.4",0
"ak","2 wk ahead","Bin","percent","11.4","11.5",0
"ak","2 wk ahead","Bin","percent","11.5","11.6",0
"ak","2 wk ahead","Bin","percent","11.6","11.7",0
"ak","2 wk ahead","Bin","percent","11.7","11.8",0
"ak","2 wk ahead","Bin","percent","11.8","11.9",0
"ak","2 wk ahead","Bin","percent","11.9","12.0",0
"ak","2 wk ahead","Bin","percent","12.0","12.1",0
"ak","2 wk ahead","Bin","percent","12.1","12.2",0
"ak","2 wk ahead","Bin","percent","12.2","12.3",0
"ak","2 wk ahead","Bin","percent","12.3","12.4",0
"ak","2 wk ahead","Bin","percent","12.4","12.5",0
"ak","2 wk ahead","Bin","percent","12.5","12.6",0
"ak","2 wk ahead","Bin","percent","12.6","12.7",0
"ak","2 wk ahead","Bin","percent","12.7","12.8",0
"ak","2 wk ahead","Bin","percent","12.8","12.9",0
"ak","2 wk ahead","Bin","percent","12.9","13.0",0
"ak","2 wk ahead","Bin","percent","13.0","100.0",0
"ak","3 wk ahead","Point","percent",NA,NA,2.6
"ak","3 wk ahead","Bin","percent","0.0","0.1",0
"ak","3 wk ahead","Bin","percent","0.1","0.2",1e-04
"ak","3 wk ahead","Bin","percent","0.2","0.3",2e-04
"ak","3 wk ahead","Bin","percent","0.3","0.4",6e-04
"ak","3 wk ahead","Bin","percent","0.4","0.5",0.001
"ak","3 wk ahead","Bin","percent","0.5","0.6",0.0017
"ak","3 wk ahead","Bin","percent","0.6","0.7",0.0029
"ak","3 wk ahead","Bin","percent","0.7","0.8",0.0051
"ak","3 wk ahead","Bin","percent","0.8","0.9",0.0073
"ak","3 wk ahead","Bin","percent","0.9","1.0",0.009
"ak","3 wk ahead","Bin","percent","1.0","1.1",0.0103
"ak","3 wk ahead","Bin","percent","1.1","1.2",0.0142
"ak","3 wk ahead","Bin","percent","1.2","1.3",0.0175
"ak","3 wk ahead","Bin","percent","1.3","1.4",0.019
"ak","3 wk ahead","Bin","percent","1.4","1.5",0.0252
"ak","3 wk ahead","Bin","percent","1.5","1.6",0.0257
"ak","3 wk ahead","Bin","percent","1.6","1.7",0.0285
"ak","3 wk ahead","Bin","percent","1.7","1.8",0.0295
"ak","3 wk ahead","Bin","percent","1.8","1.9",0.0352
"ak","3 wk ahead","Bin","percent","1.9","2.0",0.0337
"ak","3 wk ahead","Bin","percent","2.0","2.1",0.0385
"ak","3 wk ahead","Bin","percent","2.1","2.2",0.036
"ak","3 wk ahead","Bin","percent","2.2","2.3",0.0401
"ak","3 wk ahead","Bin","percent","2.3","2.4",0.037
"ak","3 wk ahead","Bin","percent","2.4","2.5",0.0385
"ak","3 wk ahead","Bin","percent","2.5","2.6",0.0405
"ak","3 wk ahead","Bin","percent","2.6","2.7",0.0359
"ak","3 wk ahead","Bin","percent","2.7","2.8",0.0329
"ak","3 wk ahead","Bin","percent","2.8","2.9",0.0338
"ak","3 wk ahead","Bin","percent","2.9","3.0",0.0333
"ak","3 wk ahead","Bin","percent","3.0","3.1",0.0317
"ak","3 wk ahead","Bin","percent","3.1","3.2",0.0298
"ak","3 wk ahead","Bin","percent","3.2","3.3",0.0272
"ak","3 wk ahead","Bin","percent","3.3","3.4",0.0238
"ak","3 wk ahead","Bin","percent","3.4","3.5",0.0231
"ak","3 wk ahead","Bin","percent","3.5","3.6",0.0206
"ak","3 wk ahead","Bin","percent","3.6","3.7",0.0201
"ak","3 wk ahead","Bin","percent","3.7","3.8",0.0166
"ak","3 wk ahead","Bin","percent","3.8","3.9",0.017
"ak","3 wk ahead","Bin","percent","3.9","4.0",0.0144
"ak","3 wk ahead","Bin","percent","4.0","4.1",0.0136
"ak","3 wk ahead","Bin","percent","4.1","4.2",0.0142
"ak","3 wk ahead","Bin","percent","4.2","4.3",0.0108
"ak","3 wk ahead","Bin","percent","4.3","4.4",0.0094
"ak","3 wk ahead","Bin","percent","4.4","4.5",0.0096
"ak","3 wk ahead","Bin","percent","4.5","4.6",0.0092
"ak","3 wk ahead","Bin","percent","4.6","4.7",0.0081
"ak","3 wk ahead","Bin","percent","4.7","4.8",0.0072
"ak","3 wk ahead","Bin","percent","4.8","4.9",0.0071
"ak","3 wk ahead","Bin","percent","4.9","5.0",0.0062
"ak","3 wk ahead","Bin","percent","5.0","5.1",0.0051
"ak","3 wk ahead","Bin","percent","5.1","5.2",0.0044
"ak","3 wk ahead","Bin","percent","5.2","5.3",0.0039
"ak","3 wk ahead","Bin","percent","5.3","5.4",0.0037
"ak","3 wk ahead","Bin","percent","5.4","5.5",0.0038
"ak","3 wk ahead","Bin","percent","5.5","5.6",0.0022
"ak","3 wk ahead","Bin","percent","5.6","5.7",0.0027
"ak","3 wk ahead","Bin","percent","5.7","5.8",0.0021
"ak","3 wk ahead","Bin","percent","5.8","5.9",0.0022
"ak","3 wk ahead","Bin","percent","5.9","6.0",0.0014
