"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"nh","1 wk ahead","Point","percent",NA,NA,1.6
"nh","1 wk ahead","Bin","percent","0.0","0.1",0
"nh","1 wk ahead","Bin","percent","0.1","0.2",0
"nh","1 wk ahead","Bin","percent","0.2","0.3",0.000105418511490618
"nh","1 wk ahead","Bin","percent","0.3","0.4",0.00147585916086865
"nh","1 wk ahead","Bin","percent","0.4","0.5",0.00442757748260595
"nh","1 wk ahead","Bin","percent","0.5","0.6",0.0138098250052709
"nh","1 wk ahead","Bin","percent","0.6","0.7",0.0246679316888046
"nh","1 wk ahead","Bin","percent","0.7","0.8",0.0337339236769977
"nh","1 wk ahead","Bin","percent","0.8","0.9",0.0472274931477968
"nh","1 wk ahead","Bin","percent","0.9","1.0",0.0570314147164242
"nh","1 wk ahead","Bin","percent","1.0","1.1",0.0555555555555556
"nh","1 wk ahead","Bin","percent","1.1","1.2",0.0550284629981025
"nh","1 wk ahead","Bin","percent","1.2","1.3",0.0550284629981025
"nh","1 wk ahead","Bin","percent","1.3","1.4",0.0509171410499684
"nh","1 wk ahead","Bin","percent","1.4","1.5",0.0489141893316466
"nh","1 wk ahead","Bin","percent","1.5","1.6",0.045224541429475
"nh","1 wk ahead","Bin","percent","1.6","1.7",0.0397427788319629
"nh","1 wk ahead","Bin","percent","1.7","1.8",0.0362639679527725
"nh","1 wk ahead","Bin","percent","1.8","1.9",0.0338393421884883
"nh","1 wk ahead","Bin","percent","1.9","2.0",0.02730339447607
"nh","1 wk ahead","Bin","percent","2.0","2.1",0.0266708834071263
"nh","1 wk ahead","Bin","percent","2.1","2.2",0.0251950242462576
"nh","1 wk ahead","Bin","percent","2.2","2.3",0.0224541429475016
"nh","1 wk ahead","Bin","percent","2.3","2.4",0.0186590765338393
"nh","1 wk ahead","Bin","percent","2.4","2.5",0.01876449504533
"nh","1 wk ahead","Bin","percent","2.5","2.6",0.0159181952350833
"nh","1 wk ahead","Bin","percent","2.6","2.7",0.0127556398903647
"nh","1 wk ahead","Bin","percent","2.7","2.8",0.0128610584018554
"nh","1 wk ahead","Bin","percent","2.8","2.9",0.0127556398903647
"nh","1 wk ahead","Bin","percent","2.9","3.0",0.010752688172043
"nh","1 wk ahead","Bin","percent","3.0","3.1",0.0105418511490618
"nh","1 wk ahead","Bin","percent","3.1","3.2",0.00780096985030571
"nh","1 wk ahead","Bin","percent","3.2","3.3",0.00674678473539954
"nh","1 wk ahead","Bin","percent","3.3","3.4",0.00695762175838077
"nh","1 wk ahead","Bin","percent","3.4","3.5",0.00569259962049336
"nh","1 wk ahead","Bin","percent","3.5","3.6",0.00706304026987139
"nh","1 wk ahead","Bin","percent","3.6","3.7",0.0065359477124183
"nh","1 wk ahead","Bin","percent","3.7","3.8",0.00643052920092768
"nh","1 wk ahead","Bin","percent","3.8","3.9",0.00495467004005903
"nh","1 wk ahead","Bin","percent","3.9","4.0",0.00527092557453089
"nh","1 wk ahead","Bin","percent","4.0","4.1",0.00484925152856842
"nh","1 wk ahead","Bin","percent","4.1","4.2",0.00379506641366224
"nh","1 wk ahead","Bin","percent","4.2","4.3",0.00432215897111533
"nh","1 wk ahead","Bin","percent","4.3","4.4",0.00421674045962471
"nh","1 wk ahead","Bin","percent","4.4","4.5",0.00326797385620915
"nh","1 wk ahead","Bin","percent","4.5","4.6",0.00305713683322791
"nh","1 wk ahead","Bin","percent","4.6","4.7",0.00326797385620915
"nh","1 wk ahead","Bin","percent","4.7","4.8",0.00284629981024668
"nh","1 wk ahead","Bin","percent","4.8","4.9",0.00253004427577483
"nh","1 wk ahead","Bin","percent","4.9","5.0",0.00337339236769977
"nh","1 wk ahead","Bin","percent","5.0","5.1",0.00337339236769977
"nh","1 wk ahead","Bin","percent","5.1","5.2",0.00231920725279359
"nh","1 wk ahead","Bin","percent","5.2","5.3",0.00126502213788741
"nh","1 wk ahead","Bin","percent","5.3","5.4",0.00284629981024668
"nh","1 wk ahead","Bin","percent","5.4","5.5",0.0017921146953405
"nh","1 wk ahead","Bin","percent","5.5","5.6",0.0017921146953405
"nh","1 wk ahead","Bin","percent","5.6","5.7",0.00200295171832174
"nh","1 wk ahead","Bin","percent","5.7","5.8",0.00147585916086865
"nh","1 wk ahead","Bin","percent","5.8","5.9",0.00105418511490618
"nh","1 wk ahead","Bin","percent","5.9","6.0",0.00126502213788741
"nh","1 wk ahead","Bin","percent","6.0","6.1",0.00189753320683112
"nh","1 wk ahead","Bin","percent","6.1","6.2",0.00137044064937803
"nh","1 wk ahead","Bin","percent","6.2","6.3",0.00105418511490618
"nh","1 wk ahead","Bin","percent","6.3","6.4",0.00147585916086865
"nh","1 wk ahead","Bin","percent","6.4","6.5",0.00094876660341556
"nh","1 wk ahead","Bin","percent","6.5","6.6",0.00126502213788741
"nh","1 wk ahead","Bin","percent","6.6","6.7",0.000527092557453089
"nh","1 wk ahead","Bin","percent","6.7","6.8",0.000843348091924942
