"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"il","1 wk ahead","Point","percent",NA,NA,3.3
"il","1 wk ahead","Bin","percent","0.0","0.1",0
"il","1 wk ahead","Bin","percent","0.1","0.2",0
"il","1 wk ahead","Bin","percent","0.2","0.3",0
"il","1 wk ahead","Bin","percent","0.3","0.4",0
"il","1 wk ahead","Bin","percent","0.4","0.5",0
"il","1 wk ahead","Bin","percent","0.5","0.6",0
"il","1 wk ahead","Bin","percent","0.6","0.7",0
"il","1 wk ahead","Bin","percent","0.7","0.8",0
"il","1 wk ahead","Bin","percent","0.8","0.9",0
"il","1 wk ahead","Bin","percent","0.9","1.0",0
"il","1 wk ahead","Bin","percent","1.0","1.1",0
"il","1 wk ahead","Bin","percent","1.1","1.2",0
"il","1 wk ahead","Bin","percent","1.2","1.3",0
"il","1 wk ahead","Bin","percent","1.3","1.4",0
"il","1 wk ahead","Bin","percent","1.4","1.5",0
"il","1 wk ahead","Bin","percent","1.5","1.6",0
"il","1 wk ahead","Bin","percent","1.6","1.7",0
"il","1 wk ahead","Bin","percent","1.7","1.8",0
"il","1 wk ahead","Bin","percent","1.8","1.9",0
"il","1 wk ahead","Bin","percent","1.9","2.0",4e-04
"il","1 wk ahead","Bin","percent","2.0","2.1",9e-04
"il","1 wk ahead","Bin","percent","2.1","2.2",0.0033
"il","1 wk ahead","Bin","percent","2.2","2.3",0.0051
"il","1 wk ahead","Bin","percent","2.3","2.4",0.012
"il","1 wk ahead","Bin","percent","2.4","2.5",0.0181
"il","1 wk ahead","Bin","percent","2.5","2.6",0.0289
"il","1 wk ahead","Bin","percent","2.6","2.7",0.033
"il","1 wk ahead","Bin","percent","2.7","2.8",0.0448
"il","1 wk ahead","Bin","percent","2.8","2.9",0.0536
"il","1 wk ahead","Bin","percent","2.9","3.0",0.0621
"il","1 wk ahead","Bin","percent","3.0","3.1",0.0693
"il","1 wk ahead","Bin","percent","3.1","3.2",0.0698
"il","1 wk ahead","Bin","percent","3.2","3.3",0.0691
"il","1 wk ahead","Bin","percent","3.3","3.4",0.0704
