"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"ny_minus_jfk","1 wk ahead","Point","percent",NA,NA,3.8
"ny_minus_jfk","1 wk ahead","Bin","percent","0.0","0.1",0
"ny_minus_jfk","1 wk ahead","Bin","percent","0.1","0.2",0
"ny_minus_jfk","1 wk ahead","Bin","percent","0.2","0.3",0
"ny_minus_jfk","1 wk ahead","Bin","percent","0.3","0.4",0
"ny_minus_jfk","1 wk ahead","Bin","percent","0.4","0.5",0
"ny_minus_jfk","1 wk ahead","Bin","percent","0.5","0.6",0
"ny_minus_jfk","1 wk ahead","Bin","percent","0.6","0.7",0
"ny_minus_jfk","1 wk ahead","Bin","percent","0.7","0.8",0
"ny_minus_jfk","1 wk ahead","Bin","percent","0.8","0.9",0
"ny_minus_jfk","1 wk ahead","Bin","percent","0.9","1.0",0
"ny_minus_jfk","1 wk ahead","Bin","percent","1.0","1.1",0
"ny_minus_jfk","1 wk ahead","Bin","percent","1.1","1.2",0
"ny_minus_jfk","1 wk ahead","Bin","percent","1.2","1.3",0
"ny_minus_jfk","1 wk ahead","Bin","percent","1.3","1.4",0
"ny_minus_jfk","1 wk ahead","Bin","percent","1.4","1.5",2e-04
"ny_minus_jfk","1 wk ahead","Bin","percent","1.5","1.6",2e-04
"ny_minus_jfk","1 wk ahead","Bin","percent","1.6","1.7",4e-04
"ny_minus_jfk","1 wk ahead","Bin","percent","1.7","1.8",0.0012
"ny_minus_jfk","1 wk ahead","Bin","percent","1.8","1.9",0.0021
"ny_minus_jfk","1 wk ahead","Bin","percent","1.9","2.0",0.0022
"ny_minus_jfk","1 wk ahead","Bin","percent","2.0","2.1",0.0038
"ny_minus_jfk","1 wk ahead","Bin","percent","2.1","2.2",0.0066
"ny_minus_jfk","1 wk ahead","Bin","percent","2.2","2.3",0.0079
"ny_minus_jfk","1 wk ahead","Bin","percent","2.3","2.4",0.0113
"ny_minus_jfk","1 wk ahead","Bin","percent","2.4","2.5",0.0135
"ny_minus_jfk","1 wk ahead","Bin","percent","2.5","2.6",0.0178
"ny_minus_jfk","1 wk ahead","Bin","percent","2.6","2.7",0.0163
"ny_minus_jfk","1 wk ahead","Bin","percent","2.7","2.8",0.0217
"ny_minus_jfk","1 wk ahead","Bin","percent","2.8","2.9",0.0255
"ny_minus_jfk","1 wk ahead","Bin","percent","2.9","3.0",0.0278
"ny_minus_jfk","1 wk ahead","Bin","percent","3.0","3.1",0.0308
"ny_minus_jfk","1 wk ahead","Bin","percent","3.1","3.2",0.0347
"ny_minus_jfk","1 wk ahead","Bin","percent","3.2","3.3",0.0351
"ny_minus_jfk","1 wk ahead","Bin","percent","3.3","3.4",0.0388
"ny_minus_jfk","1 wk ahead","Bin","percent","3.4","3.5",0.0394
"ny_minus_jfk","1 wk ahead","Bin","percent","3.5","3.6",0.0428
"ny_minus_jfk","1 wk ahead","Bin","percent","3.6","3.7",0.0378
"ny_minus_jfk","1 wk ahead","Bin","percent","3.7","3.8",0.0392
"ny_minus_jfk","1 wk ahead","Bin","percent","3.8","3.9",0.0429
"ny_minus_jfk","1 wk ahead","Bin","percent","3.9","4.0",0.0396
"ny_minus_jfk","1 wk ahead","Bin","percent","4.0","4.1",0.038
"ny_minus_jfk","1 wk ahead","Bin","percent","4.1","4.2",0.0333
"ny_minus_jfk","1 wk ahead","Bin","percent","4.2","4.3",0.0365
"ny_minus_jfk","1 wk ahead","Bin","percent","4.3","4.4",0.0347
"ny_minus_jfk","1 wk ahead","Bin","percent","4.4","4.5",0.0312
"ny_minus_jfk","1 wk ahead","Bin","percent","4.5","4.6",0.0262
"ny_minus_jfk","1 wk ahead","Bin","percent","4.6","4.7",0.0249
"ny_minus_jfk","1 wk ahead","Bin","percent","4.7","4.8",0.0237
"ny_minus_jfk","1 wk ahead","Bin","percent","4.8","4.9",0.023
"ny_minus_jfk","1 wk ahead","Bin","percent","4.9","5.0",0.0198
"ny_minus_jfk","1 wk ahead","Bin","percent","5.0","5.1",0.0204
"ny_minus_jfk","1 wk ahead","Bin","percent","5.1","5.2",0.0173
"ny_minus_jfk","1 wk ahead","Bin","percent","5.2","5.3",0.0157
"ny_minus_jfk","1 wk ahead","Bin","percent","5.3","5.4",0.0125
"ny_minus_jfk","1 wk ahead","Bin","percent","5.4","5.5",0.0122
"ny_minus_jfk","1 wk ahead","Bin","percent","5.5","5.6",0.0108
"ny_minus_jfk","1 wk ahead","Bin","percent","5.6","5.7",0.0099
