"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"mt","1 wk ahead","Point","percent",NA,NA,0.5
"mt","1 wk ahead","Bin","percent","0.0","0.1",0
"mt","1 wk ahead","Bin","percent","0.1","0.2",0.0133446905167518
"mt","1 wk ahead","Bin","percent","0.2","0.3",0.0958262350936968
"mt","1 wk ahead","Bin","percent","0.3","0.4",0.147217490062465
"mt","1 wk ahead","Bin","percent","0.4","0.5",0.143810335036911
"mt","1 wk ahead","Bin","percent","0.5","0.6",0.124077228847246
"mt","1 wk ahead","Bin","percent","0.6","0.7",0.0942646223736513
"mt","1 wk ahead","Bin","percent","0.7","0.8",0.0721181147075525
"mt","1 wk ahead","Bin","percent","0.8","0.9",0.0574957410562181
"mt","1 wk ahead","Bin","percent","0.9","1.0",0.0445769449176604
"mt","1 wk ahead","Bin","percent","1.0","1.1",0.0322260079500284
"mt","1 wk ahead","Bin","percent","1.1","1.2",0.0235661555934128
"mt","1 wk ahead","Bin","percent","1.2","1.3",0.0212947189097104
"mt","1 wk ahead","Bin","percent","1.3","1.4",0.0205848949460534
"mt","1 wk ahead","Bin","percent","1.4","1.5",0.0144804088586031
"mt","1 wk ahead","Bin","percent","1.5","1.6",0.0119250425894378
"mt","1 wk ahead","Bin","percent","1.6","1.7",0.00865985235661556
"mt","1 wk ahead","Bin","percent","1.7","1.8",0.00837592277115275
"mt","1 wk ahead","Bin","percent","1.8","1.9",0.00851788756388416
"mt","1 wk ahead","Bin","percent","1.9","2.0",0.00511073253833049
"mt","1 wk ahead","Bin","percent","2.0","2.1",0.00468483816013629
"mt","1 wk ahead","Bin","percent","2.1","2.2",0.00482680295286769
"mt","1 wk ahead","Bin","percent","2.2","2.3",0.00354911981828507
"mt","1 wk ahead","Bin","percent","2.3","2.4",0.00312322544009086
"mt","1 wk ahead","Bin","percent","2.4","2.5",0.00298126064735946
"mt","1 wk ahead","Bin","percent","2.5","2.6",0.00212947189097104
"mt","1 wk ahead","Bin","percent","2.6","2.7",0.00283929585462805
"mt","1 wk ahead","Bin","percent","2.7","2.8",0.00184554230550823
"mt","1 wk ahead","Bin","percent","2.8","2.9",0.00184554230550823
"mt","1 wk ahead","Bin","percent","2.9","3.0",0.00212947189097104
"mt","1 wk ahead","Bin","percent","3.0","3.1",0.00255536626916525
"mt","1 wk ahead","Bin","percent","3.1","3.2",0.000851788756388416
"mt","1 wk ahead","Bin","percent","3.2","3.3",0.00127768313458262
"mt","1 wk ahead","Bin","percent","3.3","3.4",0.000993753549119818
"mt","1 wk ahead","Bin","percent","3.4","3.5",0.00056785917092561
"mt","1 wk ahead","Bin","percent","3.5","3.6",0.000851788756388416
"mt","1 wk ahead","Bin","percent","3.6","3.7",0.000851788756388416
"mt","1 wk ahead","Bin","percent","3.7","3.8",0.000709823963657013
"mt","1 wk ahead","Bin","percent","3.8","3.9",0.00127768313458262
"mt","1 wk ahead","Bin","percent","3.9","4.0",0.000709823963657013
"mt","1 wk ahead","Bin","percent","4.0","4.1",0.000425894378194208
"mt","1 wk ahead","Bin","percent","4.1","4.2",0.00127768313458262
"mt","1 wk ahead","Bin","percent","4.2","4.3",0.000425894378194208
"mt","1 wk ahead","Bin","percent","4.3","4.4",0.000709823963657013
"mt","1 wk ahead","Bin","percent","4.4","4.5",0.000283929585462805
"mt","1 wk ahead","Bin","percent","4.5","4.6",0.000709823963657013
"mt","1 wk ahead","Bin","percent","4.6","4.7",0.00056785917092561
"mt","1 wk ahead","Bin","percent","4.7","4.8",0.000283929585462805
"mt","1 wk ahead","Bin","percent","4.8","4.9",0.000141964792731403
"mt","1 wk ahead","Bin","percent","4.9","5.0",0.000141964792731403
"mt","1 wk ahead","Bin","percent","5.0","5.1",0.000141964792731403
"mt","1 wk ahead","Bin","percent","5.1","5.2",0.000425894378194208
"mt","1 wk ahead","Bin","percent","5.2","5.3",0
"mt","1 wk ahead","Bin","percent","5.3","5.4",0.000283929585462805
"mt","1 wk ahead","Bin","percent","5.4","5.5",0.000141964792731403
"mt","1 wk ahead","Bin","percent","5.5","5.6",0.000425894378194208
"mt","1 wk ahead","Bin","percent","5.6","5.7",0.000283929585462805
"mt","1 wk ahead","Bin","percent","5.7","5.8",0.000141964792731403
"mt","1 wk ahead","Bin","percent","5.8","5.9",0.000141964792731403
"mt","1 wk ahead","Bin","percent","5.9","6.0",0.000425894378194208
"mt","1 wk ahead","Bin","percent","6.0","6.1",0
"mt","1 wk ahead","Bin","percent","6.1","6.2",0.000141964792731403
"mt","1 wk ahead","Bin","percent","6.2","6.3",0.000141964792731403
"mt","1 wk ahead","Bin","percent","6.3","6.4",0
"mt","1 wk ahead","Bin","percent","6.4","6.5",0
"mt","1 wk ahead","Bin","percent","6.5","6.6",0.000425894378194208
"mt","1 wk ahead","Bin","percent","6.6","6.7",0.000283929585462805
"mt","1 wk ahead","Bin","percent","6.7","6.8",0
"mt","1 wk ahead","Bin","percent","6.8","6.9",0.000141964792731403
"mt","1 wk ahead","Bin","percent","6.9","7.0",0
"mt","1 wk ahead","Bin","percent","7.0","7.1",0
"mt","1 wk ahead","Bin","percent","7.1","7.2",0.000141964792731403
