"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"ca","1 wk ahead","Point","percent",NA,NA,3.3
"ca","1 wk ahead","Bin","percent","0.0","0.1",0
"ca","1 wk ahead","Bin","percent","0.1","0.2",0
"ca","1 wk ahead","Bin","percent","0.2","0.3",0
"ca","1 wk ahead","Bin","percent","0.3","0.4",0
"ca","1 wk ahead","Bin","percent","0.4","0.5",0
"ca","1 wk ahead","Bin","percent","0.5","0.6",0
"ca","1 wk ahead","Bin","percent","0.6","0.7",0
"ca","1 wk ahead","Bin","percent","0.7","0.8",0
"ca","1 wk ahead","Bin","percent","0.8","0.9",0
"ca","1 wk ahead","Bin","percent","0.9","1.0",0
"ca","1 wk ahead","Bin","percent","1.0","1.1",0
"ca","1 wk ahead","Bin","percent","1.1","1.2",0
"ca","1 wk ahead","Bin","percent","1.2","1.3",0
"ca","1 wk ahead","Bin","percent","1.3","1.4",0
"ca","1 wk ahead","Bin","percent","1.4","1.5",0
"ca","1 wk ahead","Bin","percent","1.5","1.6",0
"ca","1 wk ahead","Bin","percent","1.6","1.7",0
"ca","1 wk ahead","Bin","percent","1.7","1.8",0
"ca","1 wk ahead","Bin","percent","1.8","1.9",0
"ca","1 wk ahead","Bin","percent","1.9","2.0",0
"ca","1 wk ahead","Bin","percent","2.0","2.1",1e-04
"ca","1 wk ahead","Bin","percent","2.1","2.2",9e-04
"ca","1 wk ahead","Bin","percent","2.2","2.3",0.0025
"ca","1 wk ahead","Bin","percent","2.3","2.4",0.006
"ca","1 wk ahead","Bin","percent","2.4","2.5",0.0143
"ca","1 wk ahead","Bin","percent","2.5","2.6",0.0228
"ca","1 wk ahead","Bin","percent","2.6","2.7",0.0314
"ca","1 wk ahead","Bin","percent","2.7","2.8",0.0516
"ca","1 wk ahead","Bin","percent","2.8","2.9",0.0563
"ca","1 wk ahead","Bin","percent","2.9","3.0",0.0679
"ca","1 wk ahead","Bin","percent","3.0","3.1",0.0745
"ca","1 wk ahead","Bin","percent","3.1","3.2",0.0818
"ca","1 wk ahead","Bin","percent","3.2","3.3",0.0771
"ca","1 wk ahead","Bin","percent","3.3","3.4",0.0742
"ca","1 wk ahead","Bin","percent","3.4","3.5",0.0675
"ca","1 wk ahead","Bin","percent","3.5","3.6",0.0639
"ca","1 wk ahead","Bin","percent","3.6","3.7",0.0549
"ca","1 wk ahead","Bin","percent","3.7","3.8",0.0483
"ca","1 wk ahead","Bin","percent","3.8","3.9",0.0407
"ca","1 wk ahead","Bin","percent","3.9","4.0",0.0324
"ca","1 wk ahead","Bin","percent","4.0","4.1",0.0259
"ca","1 wk ahead","Bin","percent","4.1","4.2",0.0213
"ca","1 wk ahead","Bin","percent","4.2","4.3",0.0168
"ca","1 wk ahead","Bin","percent","4.3","4.4",0.013
"ca","1 wk ahead","Bin","percent","4.4","4.5",0.0116
"ca","1 wk ahead","Bin","percent","4.5","4.6",0.0086
"ca","1 wk ahead","Bin","percent","4.6","4.7",0.0068
"ca","1 wk ahead","Bin","percent","4.7","4.8",0.0078
"ca","1 wk ahead","Bin","percent","4.8","4.9",0.0038
"ca","1 wk ahead","Bin","percent","4.9","5.0",0.0042
"ca","1 wk ahead","Bin","percent","5.0","5.1",0.0024
"ca","1 wk ahead","Bin","percent","5.1","5.2",0.0019
"ca","1 wk ahead","Bin","percent","5.2","5.3",0.0021
"ca","1 wk ahead","Bin","percent","5.3","5.4",8e-04
"ca","1 wk ahead","Bin","percent","5.4","5.5",0.001
"ca","1 wk ahead","Bin","percent","5.5","5.6",5e-04
"ca","1 wk ahead","Bin","percent","5.6","5.7",6e-04
"ca","1 wk ahead","Bin","percent","5.7","5.8",3e-04
"ca","1 wk ahead","Bin","percent","5.8","5.9",4e-04
"ca","1 wk ahead","Bin","percent","5.9","6.0",2e-04
"ca","1 wk ahead","Bin","percent","6.0","6.1",1e-04
"ca","1 wk ahead","Bin","percent","6.1","6.2",1e-04
"ca","1 wk ahead","Bin","percent","6.2","6.3",2e-04
"ca","1 wk ahead","Bin","percent","6.3","6.4",1e-04
"ca","1 wk ahead","Bin","percent","6.4","6.5",1e-04
"ca","1 wk ahead","Bin","percent","6.5","6.6",0
"ca","1 wk ahead","Bin","percent","6.6","6.7",2e-04
"ca","1 wk ahead","Bin","percent","6.7","6.8",0
"ca","1 wk ahead","Bin","percent","6.8","6.9",0
"ca","1 wk ahead","Bin","percent","6.9","7.0",0
"ca","1 wk ahead","Bin","percent","7.0","7.1",0
"ca","1 wk ahead","Bin","percent","7.1","7.2",0
"ca","1 wk ahead","Bin","percent","7.2","7.3",1e-04
"ca","1 wk ahead","Bin","percent","7.3","7.4",0
