"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"ne","1 wk ahead","Point","percent",NA,NA,3
"ne","1 wk ahead","Bin","percent","0.0","0.1",0
"ne","1 wk ahead","Bin","percent","0.1","0.2",0
"ne","1 wk ahead","Bin","percent","0.2","0.3",0
"ne","1 wk ahead","Bin","percent","0.3","0.4",0
"ne","1 wk ahead","Bin","percent","0.4","0.5",0
"ne","1 wk ahead","Bin","percent","0.5","0.6",0
"ne","1 wk ahead","Bin","percent","0.6","0.7",0
"ne","1 wk ahead","Bin","percent","0.7","0.8",1e-04
"ne","1 wk ahead","Bin","percent","0.8","0.9",6e-04
"ne","1 wk ahead","Bin","percent","0.9","1.0",7e-04
"ne","1 wk ahead","Bin","percent","1.0","1.1",0.0024
"ne","1 wk ahead","Bin","percent","1.1","1.2",0.0035
"ne","1 wk ahead","Bin","percent","1.2","1.3",0.0065
"ne","1 wk ahead","Bin","percent","1.3","1.4",0.0086
"ne","1 wk ahead","Bin","percent","1.4","1.5",0.0123
"ne","1 wk ahead","Bin","percent","1.5","1.6",0.014
"ne","1 wk ahead","Bin","percent","1.6","1.7",0.0163
"ne","1 wk ahead","Bin","percent","1.7","1.8",0.0205
"ne","1 wk ahead","Bin","percent","1.8","1.9",0.0251
"ne","1 wk ahead","Bin","percent","1.9","2.0",0.0308
"ne","1 wk ahead","Bin","percent","2.0","2.1",0.0284
"ne","1 wk ahead","Bin","percent","2.1","2.2",0.0302
"ne","1 wk ahead","Bin","percent","2.2","2.3",0.0326
"ne","1 wk ahead","Bin","percent","2.3","2.4",0.0336
"ne","1 wk ahead","Bin","percent","2.4","2.5",0.0362
"ne","1 wk ahead","Bin","percent","2.5","2.6",0.0365
"ne","1 wk ahead","Bin","percent","2.6","2.7",0.0386
"ne","1 wk ahead","Bin","percent","2.7","2.8",0.0342
"ne","1 wk ahead","Bin","percent","2.8","2.9",0.0339
"ne","1 wk ahead","Bin","percent","2.9","3.0",0.0352
"ne","1 wk ahead","Bin","percent","3.0","3.1",0.0315
"ne","1 wk ahead","Bin","percent","3.1","3.2",0.0327
"ne","1 wk ahead","Bin","percent","3.2","3.3",0.0305
"ne","1 wk ahead","Bin","percent","3.3","3.4",0.0273
"ne","1 wk ahead","Bin","percent","3.4","3.5",0.028
"ne","1 wk ahead","Bin","percent","3.5","3.6",0.0275
"ne","1 wk ahead","Bin","percent","3.6","3.7",0.0244
"ne","1 wk ahead","Bin","percent","3.7","3.8",0.024
"ne","1 wk ahead","Bin","percent","3.8","3.9",0.0223
"ne","1 wk ahead","Bin","percent","3.9","4.0",0.0195
"ne","1 wk ahead","Bin","percent","4.0","4.1",0.0196
"ne","1 wk ahead","Bin","percent","4.1","4.2",0.0189
"ne","1 wk ahead","Bin","percent","4.2","4.3",0.0183
"ne","1 wk ahead","Bin","percent","4.3","4.4",0.0154
"ne","1 wk ahead","Bin","percent","4.4","4.5",0.0143
"ne","1 wk ahead","Bin","percent","4.5","4.6",0.012
"ne","1 wk ahead","Bin","percent","4.6","4.7",0.012
"ne","1 wk ahead","Bin","percent","4.7","4.8",0.0116
"ne","1 wk ahead","Bin","percent","4.8","4.9",0.0089
"ne","1 wk ahead","Bin","percent","4.9","5.0",0.0104
"ne","1 wk ahead","Bin","percent","5.0","5.1",0.0074
"ne","1 wk ahead","Bin","percent","5.1","5.2",0.0074
"ne","1 wk ahead","Bin","percent","5.2","5.3",0.0086
"ne","1 wk ahead","Bin","percent","5.3","5.4",0.0069
"ne","1 wk ahead","Bin","percent","5.4","5.5",0.006
"ne","1 wk ahead","Bin","percent","5.5","5.6",0.005
"ne","1 wk ahead","Bin","percent","5.6","5.7",0.0053
"ne","1 wk ahead","Bin","percent","5.7","5.8",0.0045
"ne","1 wk ahead","Bin","percent","5.8","5.9",0.0039
"ne","1 wk ahead","Bin","percent","5.9","6.0",0.004
"ne","1 wk ahead","Bin","percent","6.0","6.1",0.0046
"ne","1 wk ahead","Bin","percent","6.1","6.2",0.0033
"ne","1 wk ahead","Bin","percent","6.2","6.3",0.0024
"ne","1 wk ahead","Bin","percent","6.3","6.4",0.0026
"ne","1 wk ahead","Bin","percent","6.4","6.5",0.0036
"ne","1 wk ahead","Bin","percent","6.5","6.6",0.0027
"ne","1 wk ahead","Bin","percent","6.6","6.7",0.0023
"ne","1 wk ahead","Bin","percent","6.7","6.8",0.0017
"ne","1 wk ahead","Bin","percent","6.8","6.9",0.0021
"ne","1 wk ahead","Bin","percent","6.9","7.0",0.0024
"ne","1 wk ahead","Bin","percent","7.0","7.1",0.0029
"ne","1 wk ahead","Bin","percent","7.1","7.2",0.0021
"ne","1 wk ahead","Bin","percent","7.2","7.3",0.0016
