"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"id","1 wk ahead","Point","percent",NA,NA,1.5
"id","1 wk ahead","Bin","percent","0.0","0.1",0
"id","1 wk ahead","Bin","percent","0.1","0.2",0
"id","1 wk ahead","Bin","percent","0.2","0.3",1e-04
"id","1 wk ahead","Bin","percent","0.3","0.4",0.001
"id","1 wk ahead","Bin","percent","0.4","0.5",0.0032
"id","1 wk ahead","Bin","percent","0.5","0.6",0.0073
"id","1 wk ahead","Bin","percent","0.6","0.7",0.0167
"id","1 wk ahead","Bin","percent","0.7","0.8",0.0259
"id","1 wk ahead","Bin","percent","0.8","0.9",0.0354
"id","1 wk ahead","Bin","percent","0.9","1.0",0.0465
"id","1 wk ahead","Bin","percent","1.0","1.1",0.0529
"id","1 wk ahead","Bin","percent","1.1","1.2",0.0632
"id","1 wk ahead","Bin","percent","1.2","1.3",0.0623
"id","1 wk ahead","Bin","percent","1.3","1.4",0.064
"id","1 wk ahead","Bin","percent","1.4","1.5",0.0634
"id","1 wk ahead","Bin","percent","1.5","1.6",0.0597
"id","1 wk ahead","Bin","percent","1.6","1.7",0.0581
"id","1 wk ahead","Bin","percent","1.7","1.8",0.0486
"id","1 wk ahead","Bin","percent","1.8","1.9",0.0479
"id","1 wk ahead","Bin","percent","1.9","2.0",0.0419
"id","1 wk ahead","Bin","percent","2.0","2.1",0.0368
"id","1 wk ahead","Bin","percent","2.1","2.2",0.0314
"id","1 wk ahead","Bin","percent","2.2","2.3",0.0274
"id","1 wk ahead","Bin","percent","2.3","2.4",0.0262
"id","1 wk ahead","Bin","percent","2.4","2.5",0.0232
"id","1 wk ahead","Bin","percent","2.5","2.6",0.02
"id","1 wk ahead","Bin","percent","2.6","2.7",0.0159
"id","1 wk ahead","Bin","percent","2.7","2.8",0.0148
"id","1 wk ahead","Bin","percent","2.8","2.9",0.0137
"id","1 wk ahead","Bin","percent","2.9","3.0",0.0116
"id","1 wk ahead","Bin","percent","3.0","3.1",0.0106
"id","1 wk ahead","Bin","percent","3.1","3.2",0.0081
"id","1 wk ahead","Bin","percent","3.2","3.3",0.008
"id","1 wk ahead","Bin","percent","3.3","3.4",0.0073
"id","1 wk ahead","Bin","percent","3.4","3.5",0.0062
"id","1 wk ahead","Bin","percent","3.5","3.6",0.0045
"id","1 wk ahead","Bin","percent","3.6","3.7",0.004
"id","1 wk ahead","Bin","percent","3.7","3.8",0.0042
"id","1 wk ahead","Bin","percent","3.8","3.9",0.0035
"id","1 wk ahead","Bin","percent","3.9","4.0",0.003
"id","1 wk ahead","Bin","percent","4.0","4.1",0.0024
"id","1 wk ahead","Bin","percent","4.1","4.2",0.0027
"id","1 wk ahead","Bin","percent","4.2","4.3",0.0021
