"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"co","1 wk ahead","Point","percent",NA,NA,2.9
"co","1 wk ahead","Bin","percent","0.0","0.1",0
"co","1 wk ahead","Bin","percent","0.1","0.2",0
"co","1 wk ahead","Bin","percent","0.2","0.3",0
"co","1 wk ahead","Bin","percent","0.3","0.4",0
"co","1 wk ahead","Bin","percent","0.4","0.5",0
"co","1 wk ahead","Bin","percent","0.5","0.6",1e-04
"co","1 wk ahead","Bin","percent","0.6","0.7",0
"co","1 wk ahead","Bin","percent","0.7","0.8",1e-04
"co","1 wk ahead","Bin","percent","0.8","0.9",8e-04
"co","1 wk ahead","Bin","percent","0.9","1.0",9e-04
"co","1 wk ahead","Bin","percent","1.0","1.1",0.0021
"co","1 wk ahead","Bin","percent","1.1","1.2",0.0032
"co","1 wk ahead","Bin","percent","1.2","1.3",0.0053
"co","1 wk ahead","Bin","percent","1.3","1.4",0.0077
"co","1 wk ahead","Bin","percent","1.4","1.5",0.0128
"co","1 wk ahead","Bin","percent","1.5","1.6",0.014
"co","1 wk ahead","Bin","percent","1.6","1.7",0.0184
"co","1 wk ahead","Bin","percent","1.7","1.8",0.0229
"co","1 wk ahead","Bin","percent","1.8","1.9",0.0243
"co","1 wk ahead","Bin","percent","1.9","2.0",0.0283
"co","1 wk ahead","Bin","percent","2.0","2.1",0.0334
"co","1 wk ahead","Bin","percent","2.1","2.2",0.0343
"co","1 wk ahead","Bin","percent","2.2","2.3",0.0376
"co","1 wk ahead","Bin","percent","2.3","2.4",0.0361
"co","1 wk ahead","Bin","percent","2.4","2.5",0.0352
"co","1 wk ahead","Bin","percent","2.5","2.6",0.0384
"co","1 wk ahead","Bin","percent","2.6","2.7",0.0392
"co","1 wk ahead","Bin","percent","2.7","2.8",0.0365
"co","1 wk ahead","Bin","percent","2.8","2.9",0.0339
"co","1 wk ahead","Bin","percent","2.9","3.0",0.035
"co","1 wk ahead","Bin","percent","3.0","3.1",0.0324
"co","1 wk ahead","Bin","percent","3.1","3.2",0.0329
"co","1 wk ahead","Bin","percent","3.2","3.3",0.0301
"co","1 wk ahead","Bin","percent","3.3","3.4",0.0321
"co","1 wk ahead","Bin","percent","3.4","3.5",0.0275
"co","1 wk ahead","Bin","percent","3.5","3.6",0.0246
"co","1 wk ahead","Bin","percent","3.6","3.7",0.0222
"co","1 wk ahead","Bin","percent","3.7","3.8",0.0234
"co","1 wk ahead","Bin","percent","3.8","3.9",0.0204
"co","1 wk ahead","Bin","percent","3.9","4.0",0.0191
"co","1 wk ahead","Bin","percent","4.0","4.1",0.0192
"co","1 wk ahead","Bin","percent","4.1","4.2",0.0173
"co","1 wk ahead","Bin","percent","4.2","4.3",0.0182
"co","1 wk ahead","Bin","percent","4.3","4.4",0.0143
"co","1 wk ahead","Bin","percent","4.4","4.5",0.0114
"co","1 wk ahead","Bin","percent","4.5","4.6",0.012
"co","1 wk ahead","Bin","percent","4.6","4.7",0.0121
"co","1 wk ahead","Bin","percent","4.7","4.8",0.0102
"co","1 wk ahead","Bin","percent","4.8","4.9",0.0109
"co","1 wk ahead","Bin","percent","4.9","5.0",0.0088
"co","1 wk ahead","Bin","percent","5.0","5.1",0.0078
"co","1 wk ahead","Bin","percent","5.1","5.2",0.0081
"co","1 wk ahead","Bin","percent","5.2","5.3",0.0086
"co","1 wk ahead","Bin","percent","5.3","5.4",0.0064
"co","1 wk ahead","Bin","percent","5.4","5.5",0.0069
"co","1 wk ahead","Bin","percent","5.5","5.6",0.0048
"co","1 wk ahead","Bin","percent","5.6","5.7",0.0053
"co","1 wk ahead","Bin","percent","5.7","5.8",0.0043
"co","1 wk ahead","Bin","percent","5.8","5.9",0.0041
"co","1 wk ahead","Bin","percent","5.9","6.0",0.0035
"co","1 wk ahead","Bin","percent","6.0","6.1",0.0029
"co","1 wk ahead","Bin","percent","6.1","6.2",0.0024
"co","1 wk ahead","Bin","percent","6.2","6.3",0.003
"co","1 wk ahead","Bin","percent","6.3","6.4",0.0028
"co","1 wk ahead","Bin","percent","6.4","6.5",0.002
"co","1 wk ahead","Bin","percent","6.5","6.6",0.002
"co","1 wk ahead","Bin","percent","6.6","6.7",0.0014
"co","1 wk ahead","Bin","percent","6.7","6.8",0.0015
"co","1 wk ahead","Bin","percent","6.8","6.9",0.0015
"co","1 wk ahead","Bin","percent","6.9","7.0",0.0023
"co","1 wk ahead","Bin","percent","7.0","7.1",0.001
"co","1 wk ahead","Bin","percent","7.1","7.2",0.0015
"co","1 wk ahead","Bin","percent","7.2","7.3",6e-04
"co","1 wk ahead","Bin","percent","7.3","7.4",0.0012
"co","1 wk ahead","Bin","percent","7.4","7.5",0.0011
"co","1 wk ahead","Bin","percent","7.5","7.6",0.0011
"co","1 wk ahead","Bin","percent","7.6","7.7",9e-04
"co","1 wk ahead","Bin","percent","7.7","7.8",9e-04
"co","1 wk ahead","Bin","percent","7.8","7.9",7e-04
"co","1 wk ahead","Bin","percent","7.9","8.0",0.001
"co","1 wk ahead","Bin","percent","8.0","8.1",0.001
"co","1 wk ahead","Bin","percent","8.1","8.2",4e-04
"co","1 wk ahead","Bin","percent","8.2","8.3",5e-04
"co","1 wk ahead","Bin","percent","8.3","8.4",4e-04
"co","1 wk ahead","Bin","percent","8.4","8.5",6e-04
"co","1 wk ahead","Bin","percent","8.5","8.6",5e-04
"co","1 wk ahead","Bin","percent","8.6","8.7",3e-04
"co","1 wk ahead","Bin","percent","8.7","8.8",5e-04
"co","1 wk ahead","Bin","percent","8.8","8.9",2e-04
"co","1 wk ahead","Bin","percent","8.9","9.0",5e-04
"co","1 wk ahead","Bin","percent","9.0","9.1",5e-04
"co","1 wk ahead","Bin","percent","9.1","9.2",3e-04
"co","1 wk ahead","Bin","percent","9.2","9.3",2e-04
"co","1 wk ahead","Bin","percent","9.3","9.4",0
