"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"ks","1 wk ahead","Point","percent",NA,NA,1.1
"ks","1 wk ahead","Bin","percent","0.0","0.1",0
"ks","1 wk ahead","Bin","percent","0.1","0.2",2e-04
"ks","1 wk ahead","Bin","percent","0.2","0.3",0.0012
"ks","1 wk ahead","Bin","percent","0.3","0.4",0.0056
"ks","1 wk ahead","Bin","percent","0.4","0.5",0.0193
"ks","1 wk ahead","Bin","percent","0.5","0.6",0.0327
"ks","1 wk ahead","Bin","percent","0.6","0.7",0.0539
"ks","1 wk ahead","Bin","percent","0.7","0.8",0.0702
"ks","1 wk ahead","Bin","percent","0.8","0.9",0.077
"ks","1 wk ahead","Bin","percent","0.9","1.0",0.0896
"ks","1 wk ahead","Bin","percent","1.0","1.1",0.0896
"ks","1 wk ahead","Bin","percent","1.1","1.2",0.0835
"ks","1 wk ahead","Bin","percent","1.2","1.3",0.0782
"ks","1 wk ahead","Bin","percent","1.3","1.4",0.0684
"ks","1 wk ahead","Bin","percent","1.4","1.5",0.0575
"ks","1 wk ahead","Bin","percent","1.5","1.6",0.0516
"ks","1 wk ahead","Bin","percent","1.6","1.7",0.038
"ks","1 wk ahead","Bin","percent","1.7","1.8",0.0373
"ks","1 wk ahead","Bin","percent","1.8","1.9",0.0269
"ks","1 wk ahead","Bin","percent","1.9","2.0",0.0231
"ks","1 wk ahead","Bin","percent","2.0","2.1",0.0162
"ks","1 wk ahead","Bin","percent","2.1","2.2",0.0176
"ks","1 wk ahead","Bin","percent","2.2","2.3",0.0128
"ks","1 wk ahead","Bin","percent","2.3","2.4",0.009
"ks","1 wk ahead","Bin","percent","2.4","2.5",0.0083
"ks","1 wk ahead","Bin","percent","2.5","2.6",0.0051
"ks","1 wk ahead","Bin","percent","2.6","2.7",0.0046
"ks","1 wk ahead","Bin","percent","2.7","2.8",0.0037
"ks","1 wk ahead","Bin","percent","2.8","2.9",0.0027
"ks","1 wk ahead","Bin","percent","2.9","3.0",0.0034
"ks","1 wk ahead","Bin","percent","3.0","3.1",0.0022
"ks","1 wk ahead","Bin","percent","3.1","3.2",0.0019
"ks","1 wk ahead","Bin","percent","3.2","3.3",0.0017
"ks","1 wk ahead","Bin","percent","3.3","3.4",9e-04
"ks","1 wk ahead","Bin","percent","3.4","3.5",0.001
"ks","1 wk ahead","Bin","percent","3.5","3.6",8e-04
"ks","1 wk ahead","Bin","percent","3.6","3.7",8e-04
"ks","1 wk ahead","Bin","percent","3.7","3.8",5e-04
"ks","1 wk ahead","Bin","percent","3.8","3.9",6e-04
"ks","1 wk ahead","Bin","percent","3.9","4.0",5e-04
"ks","1 wk ahead","Bin","percent","4.0","4.1",2e-04
"ks","1 wk ahead","Bin","percent","4.1","4.2",2e-04
"ks","1 wk ahead","Bin","percent","4.2","4.3",3e-04
"ks","1 wk ahead","Bin","percent","4.3","4.4",1e-04
"ks","1 wk ahead","Bin","percent","4.4","4.5",2e-04
"ks","1 wk ahead","Bin","percent","4.5","4.6",1e-04
"ks","1 wk ahead","Bin","percent","4.6","4.7",0
"ks","1 wk ahead","Bin","percent","4.7","4.8",2e-04
"ks","1 wk ahead","Bin","percent","4.8","4.9",0
"ks","1 wk ahead","Bin","percent","4.9","5.0",2e-04
"ks","1 wk ahead","Bin","percent","5.0","5.1",0
"ks","1 wk ahead","Bin","percent","5.1","5.2",1e-04
"ks","1 wk ahead","Bin","percent","5.2","5.3",0
"ks","1 wk ahead","Bin","percent","5.3","5.4",0
"ks","1 wk ahead","Bin","percent","5.4","5.5",0
"ks","1 wk ahead","Bin","percent","5.5","5.6",0
"ks","1 wk ahead","Bin","percent","5.6","5.7",0
"ks","1 wk ahead","Bin","percent","5.7","5.8",0
"ks","1 wk ahead","Bin","percent","5.8","5.9",0
"ks","1 wk ahead","Bin","percent","5.9","6.0",0
"ks","1 wk ahead","Bin","percent","6.0","6.1",2e-04
"ks","1 wk ahead","Bin","percent","6.1","6.2",0
"ks","1 wk ahead","Bin","percent","6.2","6.3",0
"ks","1 wk ahead","Bin","percent","6.3","6.4",1e-04
"ks","1 wk ahead","Bin","percent","6.4","6.5",0
"ks","1 wk ahead","Bin","percent","6.5","6.6",0
"ks","1 wk ahead","Bin","percent","6.6","6.7",0
"ks","1 wk ahead","Bin","percent","6.7","6.8",0
"ks","1 wk ahead","Bin","percent","6.8","6.9",0
