"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"ga","1 wk ahead","Point","percent",NA,NA,4.6
"ga","1 wk ahead","Bin","percent","0.0","0.1",0
"ga","1 wk ahead","Bin","percent","0.1","0.2",0
"ga","1 wk ahead","Bin","percent","0.2","0.3",0
"ga","1 wk ahead","Bin","percent","0.3","0.4",0
"ga","1 wk ahead","Bin","percent","0.4","0.5",0
"ga","1 wk ahead","Bin","percent","0.5","0.6",0
"ga","1 wk ahead","Bin","percent","0.6","0.7",0
"ga","1 wk ahead","Bin","percent","0.7","0.8",0
"ga","1 wk ahead","Bin","percent","0.8","0.9",0
"ga","1 wk ahead","Bin","percent","0.9","1.0",0
"ga","1 wk ahead","Bin","percent","1.0","1.1",0
"ga","1 wk ahead","Bin","percent","1.1","1.2",0
"ga","1 wk ahead","Bin","percent","1.2","1.3",0
"ga","1 wk ahead","Bin","percent","1.3","1.4",0
"ga","1 wk ahead","Bin","percent","1.4","1.5",0
"ga","1 wk ahead","Bin","percent","1.5","1.6",0
"ga","1 wk ahead","Bin","percent","1.6","1.7",0
"ga","1 wk ahead","Bin","percent","1.7","1.8",0
"ga","1 wk ahead","Bin","percent","1.8","1.9",0
"ga","1 wk ahead","Bin","percent","1.9","2.0",0
"ga","1 wk ahead","Bin","percent","2.0","2.1",0
"ga","1 wk ahead","Bin","percent","2.1","2.2",0
"ga","1 wk ahead","Bin","percent","2.2","2.3",0
"ga","1 wk ahead","Bin","percent","2.3","2.4",0
"ga","1 wk ahead","Bin","percent","2.4","2.5",0
"ga","1 wk ahead","Bin","percent","2.5","2.6",1e-04
"ga","1 wk ahead","Bin","percent","2.6","2.7",0
"ga","1 wk ahead","Bin","percent","2.7","2.8",0
"ga","1 wk ahead","Bin","percent","2.8","2.9",5e-04
"ga","1 wk ahead","Bin","percent","2.9","3.0",0.0016
"ga","1 wk ahead","Bin","percent","3.0","3.1",0.0022
"ga","1 wk ahead","Bin","percent","3.1","3.2",0.0029
"ga","1 wk ahead","Bin","percent","3.2","3.3",0.0067
"ga","1 wk ahead","Bin","percent","3.3","3.4",0.0095
"ga","1 wk ahead","Bin","percent","3.4","3.5",0.0137
"ga","1 wk ahead","Bin","percent","3.5","3.6",0.0167
"ga","1 wk ahead","Bin","percent","3.6","3.7",0.0209
"ga","1 wk ahead","Bin","percent","3.7","3.8",0.0294
"ga","1 wk ahead","Bin","percent","3.8","3.9",0.0299
"ga","1 wk ahead","Bin","percent","3.9","4.0",0.0335
"ga","1 wk ahead","Bin","percent","4.0","4.1",0.0377
"ga","1 wk ahead","Bin","percent","4.1","4.2",0.0432
"ga","1 wk ahead","Bin","percent","4.2","4.3",0.0541
"ga","1 wk ahead","Bin","percent","4.3","4.4",0.0483
"ga","1 wk ahead","Bin","percent","4.4","4.5",0.0519
"ga","1 wk ahead","Bin","percent","4.5","4.6",0.0475
"ga","1 wk ahead","Bin","percent","4.6","4.7",0.051
"ga","1 wk ahead","Bin","percent","4.7","4.8",0.0459
"ga","1 wk ahead","Bin","percent","4.8","4.9",0.0468
"ga","1 wk ahead","Bin","percent","4.9","5.0",0.0442
"ga","1 wk ahead","Bin","percent","5.0","5.1",0.0423
"ga","1 wk ahead","Bin","percent","5.1","5.2",0.0418
"ga","1 wk ahead","Bin","percent","5.2","5.3",0.0308
"ga","1 wk ahead","Bin","percent","5.3","5.4",0.03
"ga","1 wk ahead","Bin","percent","5.4","5.5",0.0282
"ga","1 wk ahead","Bin","percent","5.5","5.6",0.0251
"ga","1 wk ahead","Bin","percent","5.6","5.7",0.0219
"ga","1 wk ahead","Bin","percent","5.7","5.8",0.0208
"ga","1 wk ahead","Bin","percent","5.8","5.9",0.0171
"ga","1 wk ahead","Bin","percent","5.9","6.0",0.0149
"ga","1 wk ahead","Bin","percent","6.0","6.1",0.0118
"ga","1 wk ahead","Bin","percent","6.1","6.2",0.0103
"ga","1 wk ahead","Bin","percent","6.2","6.3",0.0096
"ga","1 wk ahead","Bin","percent","6.3","6.4",0.0088
"ga","1 wk ahead","Bin","percent","6.4","6.5",0.0071
"ga","1 wk ahead","Bin","percent","6.5","6.6",0.0058
"ga","1 wk ahead","Bin","percent","6.6","6.7",0.005
"ga","1 wk ahead","Bin","percent","6.7","6.8",0.0043
"ga","1 wk ahead","Bin","percent","6.8","6.9",0.0045
"ga","1 wk ahead","Bin","percent","6.9","7.0",0.0031
"ga","1 wk ahead","Bin","percent","7.0","7.1",0.0018
"ga","1 wk ahead","Bin","percent","7.1","7.2",0.0019
"ga","1 wk ahead","Bin","percent","7.2","7.3",0.0026
"ga","1 wk ahead","Bin","percent","7.3","7.4",0.0026
"ga","1 wk ahead","Bin","percent","7.4","7.5",0.0013
"ga","1 wk ahead","Bin","percent","7.5","7.6",7e-04
"ga","1 wk ahead","Bin","percent","7.6","7.7",0.0015
"ga","1 wk ahead","Bin","percent","7.7","7.8",9e-04
"ga","1 wk ahead","Bin","percent","7.8","7.9",7e-04
"ga","1 wk ahead","Bin","percent","7.9","8.0",7e-04
