"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"ct","1 wk ahead","Point","percent",NA,NA,2.4
"ct","1 wk ahead","Bin","percent","0.0","0.1",0
"ct","1 wk ahead","Bin","percent","0.1","0.2",0
"ct","1 wk ahead","Bin","percent","0.2","0.3",0
"ct","1 wk ahead","Bin","percent","0.3","0.4",0
"ct","1 wk ahead","Bin","percent","0.4","0.5",2e-04
"ct","1 wk ahead","Bin","percent","0.5","0.6",0
"ct","1 wk ahead","Bin","percent","0.6","0.7",5e-04
"ct","1 wk ahead","Bin","percent","0.7","0.8",0.0017
"ct","1 wk ahead","Bin","percent","0.8","0.9",0.0034
"ct","1 wk ahead","Bin","percent","0.9","1.0",0.0041
"ct","1 wk ahead","Bin","percent","1.0","1.1",0.0072
"ct","1 wk ahead","Bin","percent","1.1","1.2",0.0114
"ct","1 wk ahead","Bin","percent","1.2","1.3",0.0137
"ct","1 wk ahead","Bin","percent","1.3","1.4",0.0173
"ct","1 wk ahead","Bin","percent","1.4","1.5",0.0232
"ct","1 wk ahead","Bin","percent","1.5","1.6",0.0282
"ct","1 wk ahead","Bin","percent","1.6","1.7",0.0315
"ct","1 wk ahead","Bin","percent","1.7","1.8",0.0348
"ct","1 wk ahead","Bin","percent","1.8","1.9",0.0389
"ct","1 wk ahead","Bin","percent","1.9","2.0",0.0416
"ct","1 wk ahead","Bin","percent","2.0","2.1",0.048
"ct","1 wk ahead","Bin","percent","2.1","2.2",0.0496
"ct","1 wk ahead","Bin","percent","2.2","2.3",0.0495
"ct","1 wk ahead","Bin","percent","2.3","2.4",0.0512
"ct","1 wk ahead","Bin","percent","2.4","2.5",0.0475
"ct","1 wk ahead","Bin","percent","2.5","2.6",0.0494
"ct","1 wk ahead","Bin","percent","2.6","2.7",0.0458
"ct","1 wk ahead","Bin","percent","2.7","2.8",0.0456
"ct","1 wk ahead","Bin","percent","2.8","2.9",0.0402
"ct","1 wk ahead","Bin","percent","2.9","3.0",0.0361
"ct","1 wk ahead","Bin","percent","3.0","3.1",0.0337
"ct","1 wk ahead","Bin","percent","3.1","3.2",0.0315
"ct","1 wk ahead","Bin","percent","3.2","3.3",0.0256
"ct","1 wk ahead","Bin","percent","3.3","3.4",0.0269
"ct","1 wk ahead","Bin","percent","3.4","3.5",0.0228
"ct","1 wk ahead","Bin","percent","3.5","3.6",0.0189
"ct","1 wk ahead","Bin","percent","3.6","3.7",0.0179
"ct","1 wk ahead","Bin","percent","3.7","3.8",0.0157
"ct","1 wk ahead","Bin","percent","3.8","3.9",0.0139
"ct","1 wk ahead","Bin","percent","3.9","4.0",0.0129
"ct","1 wk ahead","Bin","percent","4.0","4.1",0.009
"ct","1 wk ahead","Bin","percent","4.1","4.2",0.0081
"ct","1 wk ahead","Bin","percent","4.2","4.3",0.0078
"ct","1 wk ahead","Bin","percent","4.3","4.4",0.0059
"ct","1 wk ahead","Bin","percent","4.4","4.5",0.0048
"ct","1 wk ahead","Bin","percent","4.5","4.6",0.0047
"ct","1 wk ahead","Bin","percent","4.6","4.7",0.0033
"ct","1 wk ahead","Bin","percent","4.7","4.8",0.0021
"ct","1 wk ahead","Bin","percent","4.8","4.9",0.0019
