"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"de","1 wk ahead","Point","percent",NA,NA,0.2
"de","1 wk ahead","Bin","percent","0.0","0.1",0.0603905858788182
"de","1 wk ahead","Bin","percent","0.1","0.2",0.238457686529795
"de","1 wk ahead","Bin","percent","0.2","0.3",0.273810716074111
"de","1 wk ahead","Bin","percent","0.3","0.4",0.177265898848272
"de","1 wk ahead","Bin","percent","0.4","0.5",0.100951427140711
"de","1 wk ahead","Bin","percent","0.5","0.6",0.0552829243865799
"de","1 wk ahead","Bin","percent","0.6","0.7",0.0336504757135704
"de","1 wk ahead","Bin","percent","0.7","0.8",0.0171256885327992
"de","1 wk ahead","Bin","percent","0.8","0.9",0.0125187781672509
"de","1 wk ahead","Bin","percent","0.9","1.0",0.00751126690035053
"de","1 wk ahead","Bin","percent","1.0","1.1",0.0057085628442664
"de","1 wk ahead","Bin","percent","1.1","1.2",0.0029043565348022
"de","1 wk ahead","Bin","percent","1.2","1.3",0.00200300450676014
"de","1 wk ahead","Bin","percent","1.3","1.4",0.00150225338007011
"de","1 wk ahead","Bin","percent","1.4","1.5",0.00180270405608413
"de","1 wk ahead","Bin","percent","1.5","1.6",0.00110165247871808
"de","1 wk ahead","Bin","percent","1.6","1.7",0.00120180270405608
"de","1 wk ahead","Bin","percent","1.7","1.8",0.000701051577366049
"de","1 wk ahead","Bin","percent","1.8","1.9",0.000600901352028042
"de","1 wk ahead","Bin","percent","1.9","2.0",0.00100150225338007
"de","1 wk ahead","Bin","percent","2.0","2.1",0.000300450676014021
"de","1 wk ahead","Bin","percent","2.1","2.2",0.000100150225338007
"de","1 wk ahead","Bin","percent","2.2","2.3",0
"de","1 wk ahead","Bin","percent","2.3","2.4",0.000300450676014021
"de","1 wk ahead","Bin","percent","2.4","2.5",0.000300450676014021
"de","1 wk ahead","Bin","percent","2.5","2.6",0.000200300450676014
"de","1 wk ahead","Bin","percent","2.6","2.7",0.000200300450676014
"de","1 wk ahead","Bin","percent","2.7","2.8",0.000400600901352028
"de","1 wk ahead","Bin","percent","2.8","2.9",0.000100150225338007
"de","1 wk ahead","Bin","percent","2.9","3.0",0.000200300450676014
"de","1 wk ahead","Bin","percent","3.0","3.1",0.000200300450676014
"de","1 wk ahead","Bin","percent","3.1","3.2",0.000200300450676014
"de","1 wk ahead","Bin","percent","3.2","3.3",0.000300450676014021
"de","1 wk ahead","Bin","percent","3.3","3.4",0
"de","1 wk ahead","Bin","percent","3.4","3.5",0.000200300450676014
"de","1 wk ahead","Bin","percent","3.5","3.6",0.000100150225338007
